componente,unidade,Valor por 100g,Colher servir rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,899,449,BRC0092G,Nome não encontrado
Energia,kcal,217,108,BRC0092G,Nome não encontrado
Umidade,g,"63,6","31,8",BRC0092G,Nome não encontrado
Carboidrato total,g,"4,29","2,14",BRC0092G,Nome não encontrado
Carboidrato disponível,g,"4,16","2,08",BRC0092G,Nome não encontrado
Proteína,g,"14,5","7,23",BRC0092G,Nome não encontrado
Lipídios,g,"15,8","7,90",BRC0092G,Nome não encontrado
Fibra alimentar,g,"0,12","0,06",BRC0092G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0092G,Nome não encontrado
Cinzas,g,"1,87","0,94",BRC0092G,Nome não encontrado
Colesterol,mg,"49,6","24,8",BRC0092G,Nome não encontrado
Ácidos graxos saturados,g,"4,49","2,25",BRC0092G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,76","1,88",BRC0092G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,68","2,34",BRC0092G,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,08",BRC0092G,Nome não encontrado
Cálcio,mg,"29,5","14,8",BRC0092G,Nome não encontrado
Ferro,mg,"0,36","0,18",BRC0092G,Nome não encontrado
Sódio,mg,435,217,BRC0092G,Nome não encontrado
Magnésio,mg,"19,5","9,76",BRC0092G,Nome não encontrado
Fósforo,mg,171,"86,0",BRC0092G,Nome não encontrado
Potássio,mg,266,133,BRC0092G,Nome não encontrado
Manganês,mg,"0,06","0,03",BRC0092G,Nome não encontrado
Zinco,mg,"0,31","0,15",BRC0092G,Nome não encontrado
Cobre,mg,"0,12","0,06",BRC0092G,Nome não encontrado
Selênio,mcg,"2,01","1,00",BRC0092G,Nome não encontrado
Vitamina A (RE),mcg,"48,3","24,1",BRC0092G,Nome não encontrado
Vitamina A (RAE),mcg,"38,5","19,2",BRC0092G,Nome não encontrado
Vitamina D,mcg,"6,11","3,06",BRC0092G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,45","0,23",BRC0092G,Nome não encontrado
Tiamina,mg,"0,10","0,05",BRC0092G,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0092G,Nome não encontrado
Niacina,mg,"2,63","1,32",BRC0092G,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0092G,Nome não encontrado
Vitamina B12,mcg,"0,84","0,42",BRC0092G,Nome não encontrado
Vitamina C,mg,"1,36","0,68",BRC0092G,Nome não encontrado
Equivalente de folato,mcg,"4,66","2,33",BRC0092G,Nome não encontrado
Sal de adição,g,"0,45","0,23",BRC0092G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0092G,Nome não encontrado
Gordura de adição,g,-,-,BRC0092G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0092G,Nome não encontrado
Proteína animal,g,-,-,BRC0092G,Nome não encontrado
