componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1392,208,BRC0093N,Nome não encontrado
Energia,kcal,327,49,BRC0093N,Nome não encontrado
Umidade,g,"7,84","1,18",BRC0093N,Nome não encontrado
Carboidrato total,g,"81,4","12,2",BRC0093N,Nome não encontrado
Carboidrato disponível,g,"81,3","12,2",BRC0093N,Nome não encontrado
Proteína,g,"0,45","0,07",BRC0093N,Nome não encontrado
Lipídios,g,"0,04","0,01",BRC0093N,Nome não encontrado
Fibra alimentar,g,"0,10","0,02",BRC0093N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0093N,Nome não encontrado
Cinzas,g,"10,3","1,55",BRC0093N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0093N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0093N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0093N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0093N,Nome não encontrado
Cálcio,mg,1047,157,BRC0093N,Nome não encontrado
Ferro,mg,"0,08","0,01",BRC0093N,Nome não encontrado
Sódio,mg,404,"60,6",BRC0093N,Nome não encontrado
Magnésio,mg,"3,00","0,45",BRC0093N,Nome não encontrado
Fósforo,mg,1239,185,BRC0093N,Nome não encontrado
Potássio,mg,498,"74,7",BRC0093N,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Zinco,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0093N,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Vitamina C,mg,560,"84,0",BRC0093N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0093N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0093N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0093N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0093N,Nome não encontrado
Proteína vegetal,g,"0,45","0,07",BRC0093N,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0093N,Nome não encontrado
