componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,149,357,245,BRC0111C,Nome não encontrado
Energia,kcal,35,84,58,BRC0111C,Nome não encontrado
Umidade,g,"90,4",216,149,BRC0111C,Nome não encontrado
Carboidrato total,g,"8,25","19,8","13,6",BRC0111C,Nome não encontrado
Carboidrato disponível,g,"7,07","17,0","11,7",BRC0111C,Nome não encontrado
Proteína,g,"0,64","1,53","1,05",BRC0111C,Nome não encontrado
Lipídios,g,"0,23","0,54","0,37",BRC0111C,Nome não encontrado
Fibra alimentar,g,"1,17","2,82","1,94",BRC0111C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Cinzas,g,"0,44","1,05","0,72",BRC0111C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,07","0,05",BRC0111C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,03","0,02",BRC0111C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,18","0,13",BRC0111C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Cálcio,mg,"9,32","22,4","15,4",BRC0111C,Nome não encontrado
Ferro,mg,"0,31","0,74","0,51",BRC0111C,Nome não encontrado
Sódio,mg,"6,33","15,2","10,4",BRC0111C,Nome não encontrado
Magnésio,mg,"9,94","23,9","16,4",BRC0111C,Nome não encontrado
Fósforo,mg,"9,15","22,0","15,1",BRC0111C,Nome não encontrado
Potássio,mg,157,378,260,BRC0111C,Nome não encontrado
Manganês,mg,"0,66","1,58","1,09",BRC0111C,Nome não encontrado
Zinco,mg,"0,11","0,26","0,18",BRC0111C,Nome não encontrado
Cobre,mg,"0,07","0,17","0,12",BRC0111C,Nome não encontrado
Selênio,mcg,"0,29","0,69","0,48",BRC0111C,Nome não encontrado
Vitamina A (RE),mcg,"1,81","4,34","2,98",BRC0111C,Nome não encontrado
Vitamina A (RAE),mcg,"0,90","2,17","1,49",BRC0111C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,15","0,10",BRC0111C,Nome não encontrado
Tiamina,mg,"0,07","0,17","0,12",BRC0111C,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,01",BRC0111C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0111C,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,01",BRC0111C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Vitamina C,mg,"18,2","43,6","30,0",BRC0111C,Nome não encontrado
Equivalente de folato,mcg,"8,76","21,0","14,5",BRC0111C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0111C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0111C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0111C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0111C,Nome não encontrado
