componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,273,54,355,BRC0502F,Nome não encontrado
Energia,kcal,65,12,84,BRC0502F,Nome não encontrado
Umidade,g,"84,9","17,0",110,BRC0502F,Nome não encontrado
Carboidrato total,g,"5,59","1,12","7,26",BRC0502F,Nome não encontrado
Carboidrato disponível,g,"4,71","0,94","6,12",BRC0502F,Nome não encontrado
Proteína,g,"7,53","1,51","9,78",BRC0502F,Nome não encontrado
Lipídios,g,"1,58","0,32","2,05",BRC0502F,Nome não encontrado
Fibra alimentar,g,"0,88","0,18","1,14",BRC0502F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0502F,Nome não encontrado
Cinzas,g,"0,43","0,09","0,55",BRC0502F,Nome não encontrado
Colesterol,mg,"19,3","3,86","25,1",BRC0502F,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,08","0,49",BRC0502F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,44","0,09","0,57",BRC0502F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,12","0,81",BRC0502F,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,02",BRC0502F,Nome não encontrado
Cálcio,mg,"7,80","1,56","10,1",BRC0502F,Nome não encontrado
Ferro,mg,"0,20","0,04","0,25",BRC0502F,Nome não encontrado
Sódio,mg,"9,23","1,85","12,0",BRC0502F,Nome não encontrado
Magnésio,mg,"6,66","1,33","8,66",BRC0502F,Nome não encontrado
Fósforo,mg,"62,4","12,5","81,1",BRC0502F,Nome não encontrado
Potássio,mg,122,"24,5",159,BRC0502F,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0502F,Nome não encontrado
Zinco,mg,"0,31","0,06","0,41",BRC0502F,Nome não encontrado
Cobre,mg,"0,03","0,01","0,04",BRC0502F,Nome não encontrado
Selênio,mcg,"2,89","0,58","3,75",BRC0502F,Nome não encontrado
Vitamina A (RE),mcg,156,"31,4",203,BRC0502F,Nome não encontrado
Vitamina A (RAE),mcg,"78,8","15,8",102,BRC0502F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0502F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,16","0,23","1,50",BRC0502F,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0502F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0502F,Nome não encontrado
Niacina,mg,"1,97","0,39","2,56",BRC0502F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0502F,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,04",BRC0502F,Nome não encontrado
Vitamina C,mg,"1,83","0,37","2,37",BRC0502F,Nome não encontrado
Equivalente de folato,mcg,"12,6","2,52","16,4",BRC0502F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0502F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0502F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0502F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0502F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0502F,Nome não encontrado
