componente,unidade,Valor por 100g,Colher sopa cheia (16 g),Concha cheia (58 g),codigo_alimento,nome_alimento
Energia,kJ,150,23,86,BRC0100B,Nome não encontrado
Energia,kcal,36,5,20,BRC0100B,Nome não encontrado
Umidade,g,"86,1","13,8","50,0",BRC0100B,Nome não encontrado
Carboidrato total,g,"9,01","1,44","5,23",BRC0100B,Nome não encontrado
Carboidrato disponível,g,"3,18","0,51","1,84",BRC0100B,Nome não encontrado
Proteína,g,"1,61","0,26","0,93",BRC0100B,Nome não encontrado
Lipídios,g,"1,06","0,17","0,61",BRC0100B,Nome não encontrado
Fibra alimentar,g,"3,64","0,58","2,11",BRC0100B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
Cinzas,g,"2,13","0,34","1,24",BRC0100B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,02","0,07",BRC0100B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,02","0,07",BRC0100B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,23","0,04","0,14",BRC0100B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0100B,Nome não encontrado
Cálcio,mg,"9,42","1,51","5,46",BRC0100B,Nome não encontrado
Ferro,mg,"1,43","0,23","0,83",BRC0100B,Nome não encontrado
Sódio,mg,488,"78,2",283,BRC0100B,Nome não encontrado
Magnésio,mg,"10,9","1,75","6,33",BRC0100B,Nome não encontrado
Fósforo,mg,"31,8","5,09","18,4",BRC0100B,Nome não encontrado
Potássio,mg,453,"72,6",263,BRC0100B,Nome não encontrado
Manganês,mg,"0,69","0,11","0,40",BRC0100B,Nome não encontrado
Zinco,mg,"0,15","0,02","0,09",BRC0100B,Nome não encontrado
Cobre,mg,"0,09","0,01","0,05",BRC0100B,Nome não encontrado
Selênio,mcg,"0,95","0,15","0,55",BRC0100B,Nome não encontrado
Vitamina A (RE),mcg,"75,8","12,1","44,0",BRC0100B,Nome não encontrado
Vitamina A (RAE),mcg,"37,9","6,07","22,0",BRC0100B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,70","0,59","2,15",BRC0100B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0100B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0100B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0100B,Nome não encontrado
Vitamina B6,mg,"0,07","0,01","0,04",BRC0100B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
Vitamina C,mg,"3,16","0,51","1,83",BRC0100B,Nome não encontrado
Equivalente de folato,mcg,"14,3","2,29","8,30",BRC0100B,Nome não encontrado
Sal de adição,g,,,,BRC0100B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
Gordura de adição,g,,,,BRC0100B,Nome não encontrado
Proteína vegetal,g,"1,61","0,26","0,93",BRC0100B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0100B,Nome não encontrado
