componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,483,120,BRC0399A,Nome não encontrado
Energia,kcal,114,28,BRC0399A,Nome não encontrado
Umidade,g,"71,6","17,9",BRC0399A,Nome não encontrado
Carboidrato total,g,"21,3","5,33",BRC0399A,Nome não encontrado
Carboidrato disponível,g,"18,5","4,63",BRC0399A,Nome não encontrado
Proteína,g,"4,40","1,10",BRC0399A,Nome não encontrado
Lipídios,g,"1,92","0,48",BRC0399A,Nome não encontrado
Fibra alimentar,g,"2,80","0,70",BRC0399A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0399A,Nome não encontrado
Cinzas,g,"0,77","0,19",BRC0399A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0399A,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,06",BRC0399A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,53","0,13",BRC0399A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","0,27",BRC0399A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0399A,Nome não encontrado
Cálcio,mg,"17,0","4,25",BRC0399A,Nome não encontrado
Ferro,mg,"1,49","0,37",BRC0399A,Nome não encontrado
Sódio,mg,"7,00","1,75",BRC0399A,Nome não encontrado
Magnésio,mg,"64,0","16,0",BRC0399A,Nome não encontrado
Fósforo,mg,152,"38,0",BRC0399A,Nome não encontrado
Potássio,mg,172,"43,0",BRC0399A,Nome não encontrado
Manganês,mg,"0,63","0,16",BRC0399A,Nome não encontrado
Zinco,mg,"1,09","0,27",BRC0399A,Nome não encontrado
Cobre,mg,"0,19","0,05",BRC0399A,Nome não encontrado
Selênio,mcg,"2,80","0,70",BRC0399A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0399A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0399A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0399A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,63","0,16",BRC0399A,Nome não encontrado
Tiamina,mg,"0,11","0,03",BRC0399A,Nome não encontrado
Riboflavina,mg,"0,11","0,03",BRC0399A,Nome não encontrado
Niacina,mg,"0,41","0,10",BRC0399A,Nome não encontrado
Vitamina B6,mg,"0,12","0,03",BRC0399A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0399A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0399A,Nome não encontrado
Equivalente de folato,mcg,"42,0","10,5",BRC0399A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0399A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0399A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0399A,Nome não encontrado
Proteína vegetal,g,"4,40","1,10",BRC0399A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0399A,Nome não encontrado
