componente,unidade,Valor por 100g,Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,247,406,BRC0025G,Nome não encontrado
Energia,kcal,59,96,BRC0025G,Nome não encontrado
Umidade,g,"88,0",145,BRC0025G,Nome não encontrado
Carboidrato total,g,"6,71","11,1",BRC0025G,Nome não encontrado
Carboidrato disponível,g,"6,71","11,1",BRC0025G,Nome não encontrado
Proteína,g,"2,03","3,36",BRC0025G,Nome não encontrado
Lipídios,g,"2,64","4,36",BRC0025G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0025G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0025G,Nome não encontrado
Cinzas,g,"0,61","1,01",BRC0025G,Nome não encontrado
Colesterol,mg,,,BRC0025G,Nome não encontrado
Ácidos graxos saturados,g,"1,12","1,85",BRC0025G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","1,85",BRC0025G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,50",BRC0025G,Nome não encontrado
Ácidos graxos trans,g,,,BRC0025G,Nome não encontrado
Cálcio,mg,"22,8","37,5",BRC0025G,Nome não encontrado
Ferro,mg,,,BRC0025G,Nome não encontrado
Sódio,mg,"43,4","71,5",BRC0025G,Nome não encontrado
Magnésio,mg,"2,64","4,35",BRC0025G,Nome não encontrado
Fósforo,mg,"14,2","23,5",BRC0025G,Nome não encontrado
Potássio,mg,"43,7","72,2",BRC0025G,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0025G,Nome não encontrado
Zinco,mg,"0,61","1,01",BRC0025G,Nome não encontrado
Cobre,mg,"0,05","0,08",BRC0025G,Nome não encontrado
Selênio,mcg,,,BRC0025G,Nome não encontrado
Vitamina A (RE),mcg,168,278,BRC0025G,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0025G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0025G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,32","2,18",BRC0025G,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0025G,Nome não encontrado
Riboflavina,mg,"0,03","0,05",BRC0025G,Nome não encontrado
Niacina,mg,"0,81","1,34",BRC0025G,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0025G,Nome não encontrado
Vitamina B12,mcg,"0,10","0,17",BRC0025G,Nome não encontrado
Vitamina C,mg,"7,12","11,7",BRC0025G,Nome não encontrado
Equivalente de folato,mcg,"2,03","3,36",BRC0025G,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0025G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0025G,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0025G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0025G,Nome não encontrado
Proteína animal,g,"2,03","3,36",BRC0025G,Nome não encontrado
