componente,unidade,Valor por 100g,Xícara chá (170 mL),codigo_alimento,nome_alimento
Energia,kJ,155,263,BRC0068C,Nome não encontrado
Energia,kcal,37,62,BRC0068C,Nome não encontrado
Umidade,g,"89,4",151,BRC0068C,Nome não encontrado
Carboidrato total,g,"9,25","15,7",BRC0068C,Nome não encontrado
Carboidrato disponível,g,"6,58","11,2",BRC0068C,Nome não encontrado
Proteína,g,"0,85","1,44",BRC0068C,Nome não encontrado
Lipídios,g,"0,20","0,34",BRC0068C,Nome não encontrado
Fibra alimentar,g,"2,67","4,54",BRC0068C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0068C,Nome não encontrado
Cinzas,g,"0,32","0,55",BRC0068C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0068C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0068C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0068C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0068C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0068C,Nome não encontrado
Cálcio,mg,"15,8","26,9",BRC0068C,Nome não encontrado
Ferro,mg,"0,35","0,59",BRC0068C,Nome não encontrado
Sódio,mg,"1,43","2,43",BRC0068C,Nome não encontrado
Magnésio,mg,"11,1","18,9",BRC0068C,Nome não encontrado
Fósforo,mg,"16,0","27,1",BRC0068C,Nome não encontrado
Potássio,mg,201,342,BRC0068C,Nome não encontrado
Manganês,mg,"0,26","0,44",BRC0068C,Nome não encontrado
Zinco,mg,"0,20","0,33",BRC0068C,Nome não encontrado
Cobre,mg,"0,07","0,12",BRC0068C,Nome não encontrado
Selênio,mcg,,,BRC0068C,Nome não encontrado
Vitamina A (RE),mcg,136,232,BRC0068C,Nome não encontrado
Vitamina A (RAE),mcg,"68,4",116,BRC0068C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0068C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0068C,Nome não encontrado
Tiamina,mg,"0,03","0,04",BRC0068C,Nome não encontrado
Riboflavina,mg,"0,10","0,16",BRC0068C,Nome não encontrado
Niacina,mg,traços,traços,BRC0068C,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0068C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0068C,Nome não encontrado
Vitamina C,mg,"24,9","42,3",BRC0068C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0068C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0068C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0068C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0068C,Nome não encontrado
Proteína vegetal,g,"0,85","1,44",BRC0068C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0068C,Nome não encontrado
