componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,643,128,836,BRC0939F,Nome não encontrado
Energia,kcal,154,30,200,BRC0939F,Nome não encontrado
Umidade,g,"71,7","14,3","93,2",BRC0939F,Nome não encontrado
Carboidrato total,g,"5,47","1,09","7,11",BRC0939F,Nome não encontrado
Carboidrato disponível,g,"4,44","0,89","5,78",BRC0939F,Nome não encontrado
Proteína,g,"12,5","2,50","16,3",BRC0939F,Nome não encontrado
Lipídios,g,"9,37","1,87","12,2",BRC0939F,Nome não encontrado
Fibra alimentar,g,"1,02","0,20","1,33",BRC0939F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0939F,Nome não encontrado
Cinzas,g,"1,00","0,20","1,30",BRC0939F,Nome não encontrado
Colesterol,mg,"32,0","6,41","41,7",BRC0939F,Nome não encontrado
Ácidos graxos saturados,g,"1,66","0,33","2,16",BRC0939F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,31","0,46","3,00",BRC0939F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,13","1,03","6,67",BRC0939F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,01","0,08",BRC0939F,Nome não encontrado
Cálcio,mg,"11,2","2,23","14,5",BRC0939F,Nome não encontrado
Ferro,mg,"0,31","0,06","0,41",BRC0939F,Nome não encontrado
Sódio,mg,141,"28,4",184,BRC0939F,Nome não encontrado
Magnésio,mg,"11,2","2,25","14,6",BRC0939F,Nome não encontrado
Fósforo,mg,108,"21,7",140,BRC0939F,Nome não encontrado
Potássio,mg,202,"40,5",263,BRC0939F,Nome não encontrado
Manganês,mg,"0,09","0,02","0,11",BRC0939F,Nome não encontrado
Zinco,mg,"0,49","0,10","0,63",BRC0939F,Nome não encontrado
Cobre,mg,"0,07","0,01","0,09",BRC0939F,Nome não encontrado
Selênio,mcg,"4,42","0,88","5,74",BRC0939F,Nome não encontrado
Vitamina A (RE),mcg,"27,3","5,45","35,4",BRC0939F,Nome não encontrado
Vitamina A (RAE),mcg,"13,9","2,79","18,1",BRC0939F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0939F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,23","0,25","1,60",BRC0939F,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,08",BRC0939F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0939F,Nome não encontrado
Niacina,mg,"2,78","0,56","3,62",BRC0939F,Nome não encontrado
Vitamina B6,mg,"0,09","0,02","0,11",BRC0939F,Nome não encontrado
Vitamina B12,mcg,"0,05","0,01","0,06",BRC0939F,Nome não encontrado
Vitamina C,mg,"3,45","0,69","4,49",BRC0939F,Nome não encontrado
Equivalente de folato,mcg,"8,35","1,67","10,9",BRC0939F,Nome não encontrado
Sal de adição,g,,,,BRC0939F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0939F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0939F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0939F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0939F,Nome não encontrado
