componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,155,372,256,BRC0036G,Nome não encontrado
Energia,kcal,37,87,60,BRC0036G,Nome não encontrado
Umidade,g,"90,6",217,149,BRC0036G,Nome não encontrado
Carboidrato total,g,"5,14","12,3","8,48",BRC0036G,Nome não encontrado
Carboidrato disponível,g,"5,14","12,3","8,48",BRC0036G,Nome não encontrado
Proteína,g,"3,12","7,49","5,15",BRC0036G,Nome não encontrado
Lipídios,g,"0,40","0,96","0,66",BRC0036G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Cinzas,g,"0,75","1,80","1,24",BRC0036G,Nome não encontrado
Colesterol,mg,"3,75","9,00","6,19",BRC0036G,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,60","0,41",BRC0036G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,24","0,17",BRC0036G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,02",BRC0036G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0036G,Nome não encontrado
Cálcio,mg,119,287,197,BRC0036G,Nome não encontrado
Ferro,mg,"0,07","0,17","0,12",BRC0036G,Nome não encontrado
Sódio,mg,"51,1",122,"84,4",BRC0036G,Nome não encontrado
Magnésio,mg,"10,3","24,6","16,9",BRC0036G,Nome não encontrado
Fósforo,mg,"85,4",204,140,BRC0036G,Nome não encontrado
Potássio,mg,140,336,231,BRC0036G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0036G,Nome não encontrado
Zinco,mg,"0,40","0,95","0,65",BRC0036G,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0036G,Nome não encontrado
Selênio,mcg,"3,93","9,43","6,49",BRC0036G,Nome não encontrado
Vitamina A (RE),mcg,"10,8","26,0","17,9",BRC0036G,Nome não encontrado
Vitamina A (RAE),mcg,"7,92","19,0","13,1",BRC0036G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,12","0,08",BRC0036G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07",BRC0036G,Nome não encontrado
Riboflavina,mg,"0,26","0,63","0,43",BRC0036G,Nome não encontrado
Niacina,mg,"1,49","3,58","2,46",BRC0036G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0036G,Nome não encontrado
Vitamina B12,mcg,"0,51","1,23","0,85",BRC0036G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0036G,Nome não encontrado
Equivalente de folato,mcg,"5,14","12,3","8,47",BRC0036G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0036G,Nome não encontrado
Proteína animal,g,"3,12","7,49","5,15",BRC0036G,Nome não encontrado
