componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,210,94,BRC1031B,Nome não encontrado
Energia,kcal,50,22,BRC1031B,Nome não encontrado
Umidade,g,"83,5","37,6",BRC1031B,Nome não encontrado
Carboidrato total,g,"10,7","4,79",BRC1031B,Nome não encontrado
Carboidrato disponível,g,"3,88","1,75",BRC1031B,Nome não encontrado
Proteína,g,"4,09","1,84",BRC1031B,Nome não encontrado
Lipídios,g,"0,56","0,25",BRC1031B,Nome não encontrado
Fibra alimentar,g,"6,77","3,05",BRC1031B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1031B,Nome não encontrado
Cinzas,g,"1,22","0,55",BRC1031B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1031B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC1031B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC1031B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC1031B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1031B,Nome não encontrado
Cálcio,mg,"1,19","0,53",BRC1031B,Nome não encontrado
Ferro,mg,"1,54","0,69",BRC1031B,Nome não encontrado
Sódio,mg,"0,91","0,41",BRC1031B,Nome não encontrado
Magnésio,mg,"21,1","9,51",BRC1031B,Nome não encontrado
Fósforo,mg,174,"78,6",BRC1031B,Nome não encontrado
Potássio,mg,506,227,BRC1031B,Nome não encontrado
Manganês,mg,"0,13","0,06",BRC1031B,Nome não encontrado
Zinco,mg,"1,38","0,62",BRC1031B,Nome não encontrado
Cobre,mg,"0,27","0,12",BRC1031B,Nome não encontrado
Selênio,mcg,,,BRC1031B,Nome não encontrado
Vitamina A (RE),mcg,,,BRC1031B,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC1031B,Nome não encontrado
Vitamina D,mcg,,,BRC1031B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC1031B,Nome não encontrado
Tiamina,mg,"0,77","0,35",BRC1031B,Nome não encontrado
Riboflavina,mg,"0,66","0,30",BRC1031B,Nome não encontrado
Niacina,mg,"31,2","14,0",BRC1031B,Nome não encontrado
Vitamina B6,mg,"0,39","0,17",BRC1031B,Nome não encontrado
Vitamina B12,mcg,,,BRC1031B,Nome não encontrado
Vitamina C,mg,,,BRC1031B,Nome não encontrado
Equivalente de folato,mcg,,,BRC1031B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1031B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1031B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC1031B,Nome não encontrado
Proteína vegetal,g,"4,09","1,84",BRC1031B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC1031B,Nome não encontrado
