componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1006,40,10,BRC0778B,Nome não encontrado
Energia,kcal,243,9,2,BRC0778B,Nome não encontrado
Umidade,g,"10,6","0,42","0,11",BRC0778B,Nome não encontrado
Carboidrato total,g,"80,6","3,22","0,81",BRC0778B,Nome não encontrado
Carboidrato disponível,g,"27,5","1,10","0,27",BRC0778B,Nome não encontrado
Proteína,g,"3,99","0,16","0,04",BRC0778B,Nome não encontrado
Lipídios,g,"1,24","0,05","0,01",BRC0778B,Nome não encontrado
Fibra alimentar,g,"53,1","2,12","0,53",BRC0778B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Cinzas,g,"3,60","0,14","0,04",BRC0778B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Ácidos graxos saturados,g,"0,35","0,01","0,00",BRC0778B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,25","0,01","0,00",BRC0778B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,00","0,00",BRC0778B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Cálcio,mg,1002,"40,1","10,0",BRC0778B,Nome não encontrado
Ferro,mg,"8,32","0,33","0,08",BRC0778B,Nome não encontrado
Sódio,mg,"10,00","0,40","0,10",BRC0778B,Nome não encontrado
Magnésio,mg,"60,0","2,40","0,60",BRC0778B,Nome não encontrado
Fósforo,mg,"64,0","2,56","0,64",BRC0778B,Nome não encontrado
Potássio,mg,431,"17,2","4,31",BRC0778B,Nome não encontrado
Manganês,mg,"17,5","0,70","0,17",BRC0778B,Nome não encontrado
Zinco,mg,"1,83","0,07","0,02",BRC0778B,Nome não encontrado
Cobre,mg,"0,40","0,02","0,00",BRC0778B,Nome não encontrado
Selênio,mcg,"3,10","0,12","0,03",BRC0778B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0778B,Nome não encontrado
Vitamina A (RAE),mcg,"15,0","0,60","0,15",BRC0778B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,32","0,09","0,02",BRC0778B,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,00",BRC0778B,Nome não encontrado
Riboflavina,mg,"0,04","0,00","0,00",BRC0778B,Nome não encontrado
Niacina,mg,"1,33","0,05","0,01",BRC0778B,Nome não encontrado
Vitamina B6,mg,"0,16","0,01","0,00",BRC0778B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Vitamina C,mg,"3,80","0,15","0,04",BRC0778B,Nome não encontrado
Equivalente de folato,mcg,"6,00","0,24","0,06",BRC0778B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
Proteína vegetal,g,"3,99","0,16","0,04",BRC0778B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0778B,Nome não encontrado
