componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,481,240,120,528,432,BRC0989A,Nome não encontrado
Energia,kcal,114,57,28,125,102,BRC0989A,Nome não encontrado
Umidade,g,"73,8","36,9","18,4","81,1","66,4",BRC0989A,Nome não encontrado
Carboidrato total,g,"17,7","8,84","4,42","19,4","15,9",BRC0989A,Nome não encontrado
Carboidrato disponível,g,"16,5","8,27","4,14","18,2","14,9",BRC0989A,Nome não encontrado
Proteína,g,"4,93","2,47","1,23","5,43","4,44",BRC0989A,Nome não encontrado
Lipídios,g,"2,89","1,44","0,72","3,17","2,60",BRC0989A,Nome não encontrado
Fibra alimentar,g,"1,13","0,57","0,28","1,25","1,02",BRC0989A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0989A,Nome não encontrado
Cinzas,g,"0,75","0,38","0,19","0,83","0,68",BRC0989A,Nome não encontrado
Colesterol,mg,"9,89","4,94","2,47","10,9","8,90",BRC0989A,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,27","0,13","0,59","0,49",BRC0989A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,68","0,84","0,42","1,85","1,51",BRC0989A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,50","0,25","0,12","0,55","0,45",BRC0989A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,04","0,03",BRC0989A,Nome não encontrado
Cálcio,mg,"12,2","6,10","3,05","13,4","11,0",BRC0989A,Nome não encontrado
Ferro,mg,"0,38","0,19","0,10","0,42","0,34",BRC0989A,Nome não encontrado
Sódio,mg,244,122,"61,2",269,220,BRC0989A,Nome não encontrado
Magnésio,mg,"6,14","3,07","1,53","6,75","5,52",BRC0989A,Nome não encontrado
Fósforo,mg,"76,3","38,1","19,1","83,9","68,6",BRC0989A,Nome não encontrado
Potássio,mg,103,"52,0","26,0",114,"93,6",BRC0989A,Nome não encontrado
Manganês,mg,"0,18","0,09","0,04","0,19","0,16",BRC0989A,Nome não encontrado
Zinco,mg,"0,45","0,23","0,11","0,50","0,41",BRC0989A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,01","0,06","0,05",BRC0989A,Nome não encontrado
Selênio,mcg,"1,14","0,57","0,28","1,25","1,02",BRC0989A,Nome não encontrado
Vitamina A (RE),mcg,"56,6","28,3","14,1","62,2","50,9",BRC0989A,Nome não encontrado
Vitamina A (RAE),mcg,"28,3","14,1","7,07","31,1","25,5",BRC0989A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0989A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,34","0,17","0,74","0,61",BRC0989A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,05","0,04",BRC0989A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01","0,05","0,04",BRC0989A,Nome não encontrado
Niacina,mg,"0,75","0,38","0,19","0,83","0,68",BRC0989A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01","0,01",BRC0989A,Nome não encontrado
Vitamina B12,mcg,"0,03","0,02","0,01","0,03","0,03",BRC0989A,Nome não encontrado
Vitamina C,mg,"7,50","3,75","1,88","8,25","6,75",BRC0989A,Nome não encontrado
Equivalente de folato,mcg,"52,6","26,3","13,2","57,9","47,3",BRC0989A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC0989A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0989A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0989A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0989A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0989A,Nome não encontrado
