componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,690,344,758,620,1379,BRC0904A,Nome não encontrado
Energia,kcal,164,82,180,147,328,BRC0904A,Nome não encontrado
Umidade,g,"66,6","33,3","73,2","59,9",133,BRC0904A,Nome não encontrado
Carboidrato total,g,"19,5","9,76","21,5","17,6","39,0",BRC0904A,Nome não encontrado
Carboidrato disponível,g,"18,9","9,44","20,8","17,0","37,8",BRC0904A,Nome não encontrado
Proteína,g,"6,84","3,42","7,53","6,16","13,7",BRC0904A,Nome não encontrado
Lipídios,g,"6,68","3,34","7,35","6,02","13,4",BRC0904A,Nome não encontrado
Fibra alimentar,g,"0,64","0,32","0,70","0,58","1,28",BRC0904A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0904A,Nome não encontrado
Cinzas,g,"0,39","0,19","0,43","0,35","0,77",BRC0904A,Nome não encontrado
Colesterol,mg,102,"51,2",112,"92,2",204,BRC0904A,Nome não encontrado
Ácidos graxos saturados,g,"2,02","1,01","2,22","1,82","4,04",BRC0904A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,50","1,25","2,75","2,25","5,00",BRC0904A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,47","0,74","1,62","1,32","2,94",BRC0904A,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03","0,06","0,05","0,11",BRC0904A,Nome não encontrado
Cálcio,mg,"15,5","7,76","17,1","14,0","31,0",BRC0904A,Nome não encontrado
Ferro,mg,"1,51","0,75","1,66","1,36","3,01",BRC0904A,Nome não encontrado
Sódio,mg,"50,5","25,3","55,6","45,5",101,BRC0904A,Nome não encontrado
Magnésio,mg,"3,31","1,66","3,65","2,98","6,63",BRC0904A,Nome não encontrado
Fósforo,mg,"71,9","35,9","79,1","64,7",143,BRC0904A,Nome não encontrado
Potássio,mg,"67,3","33,7","74,0","60,6",134,BRC0904A,Nome não encontrado
Manganês,mg,"0,11","0,06","0,13","0,10","0,23",BRC0904A,Nome não encontrado
Zinco,mg,"0,63","0,31","0,69","0,57","1,26",BRC0904A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,06","0,05","0,10",BRC0904A,Nome não encontrado
Selênio,mcg,"5,22","2,61","5,75","4,70","10,4",BRC0904A,Nome não encontrado
Vitamina A (RE),mcg,"44,6","22,3","49,1","40,1","89,2",BRC0904A,Nome não encontrado
Vitamina A (RAE),mcg,"44,5","22,3","49,0","40,1","89,0",BRC0904A,Nome não encontrado
Vitamina D,mcg,"0,50","0,25","0,55","0,45","1,01",BRC0904A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,45","0,22","0,49","0,40","0,89",BRC0904A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,05","0,04","0,09",BRC0904A,Nome não encontrado
Riboflavina,mg,"0,16","0,08","0,17","0,14","0,31",BRC0904A,Nome não encontrado
Niacina,mg,"1,31","0,65","1,44","1,18","2,61",BRC0904A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,,BRC0904A,Nome não encontrado
Vitamina B12,mcg,"0,31","0,15","0,34","0,28","0,61",BRC0904A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0904A,Nome não encontrado
Equivalente de folato,mcg,"55,5","27,7","61,0","49,9",110,BRC0904A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0904A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0904A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0904A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0904A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0904A,Nome não encontrado
