componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,257,51,333,BRC1054A,Nome não encontrado
Energia,kcal,61,12,79,BRC1054A,Nome não encontrado
Umidade,g,"84,6","16,9",110,BRC1054A,Nome não encontrado
Carboidrato total,g,"11,6","2,31","15,0",BRC1054A,Nome não encontrado
Carboidrato disponível,g,"10,3","2,07","13,4",BRC1054A,Nome não encontrado
Proteína,g,"1,97","0,39","2,56",BRC1054A,Nome não encontrado
Lipídios,g,"1,03","0,21","1,33",BRC1054A,Nome não encontrado
Fibra alimentar,g,"1,22","0,24","1,59",BRC1054A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1054A,Nome não encontrado
Cinzas,g,"0,82","0,16","1,07",BRC1054A,Nome não encontrado
Colesterol,mg,"1,29","0,26","1,68",BRC1054A,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,04","0,25",BRC1054A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,04","0,29",BRC1054A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,11","0,70",BRC1054A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,02",BRC1054A,Nome não encontrado
Cálcio,mg,"15,0","3,00","19,5",BRC1054A,Nome não encontrado
Ferro,mg,"0,32","0,06","0,41",BRC1054A,Nome não encontrado
Sódio,mg,193,"38,7",251,BRC1054A,Nome não encontrado
Magnésio,mg,"8,83","1,77","11,5",BRC1054A,Nome não encontrado
Fósforo,mg,"26,9","5,38","35,0",BRC1054A,Nome não encontrado
Potássio,mg,131,"26,3",170,BRC1054A,Nome não encontrado
Manganês,mg,"1,50","0,30","1,95",BRC1054A,Nome não encontrado
Zinco,mg,"0,27","0,05","0,35",BRC1054A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC1054A,Nome não encontrado
Selênio,mcg,"0,67","0,13","0,87",BRC1054A,Nome não encontrado
Vitamina A (RE),mcg,117,"23,5",153,BRC1054A,Nome não encontrado
Vitamina A (RAE),mcg,"59,0","11,8","76,7",BRC1054A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1054A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,13","0,85",BRC1054A,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC1054A,Nome não encontrado
Riboflavina,mg,"0,02","0,00","0,02",BRC1054A,Nome não encontrado
Niacina,mg,"0,70","0,14","0,90",BRC1054A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC1054A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01",BRC1054A,Nome não encontrado
Vitamina C,mg,"1,59","0,32","2,07",BRC1054A,Nome não encontrado
Equivalente de folato,mcg,"35,8","7,16","46,6",BRC1054A,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC1054A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1054A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1054A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1054A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1054A,Nome não encontrado
