componente,unidade,Valor por 100g,Colher sopa cheia (19 g),Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,2441,463,317,BRC0020T,Nome não encontrado
Energia,kcal,589,111,76,BRC0020T,Nome não encontrado
Umidade,g,"5,57","1,06","0,72",BRC0020T,Nome não encontrado
Carboidrato total,g,"20,7","3,93","2,69",BRC0020T,Nome não encontrado
Carboidrato disponível,g,"14,5","2,75","1,88",BRC0020T,Nome não encontrado
Proteína,g,"25,4","4,82","3,30",BRC0020T,Nome não encontrado
Lipídios,g,"46,3","8,80","6,02",BRC0020T,Nome não encontrado
Fibra alimentar,g,"6,22","1,18","0,81",BRC0020T,Nome não encontrado
Álcool,g,,,,BRC0020T,Nome não encontrado
Cinzas,g,"2,06","0,39","0,27",BRC0020T,Nome não encontrado
Colesterol,mg,,,,BRC0020T,Nome não encontrado
Ácidos graxos saturados,g,"8,70","1,65","1,13",BRC0020T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"17,2","3,27","2,24",BRC0020T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"16,2","3,08","2,11",BRC0020T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0020T,Nome não encontrado
Cálcio,mg,traços,traços,traços,BRC0020T,Nome não encontrado
Ferro,mg,"3,13","0,59","0,41",BRC0020T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0020T,Nome não encontrado
Magnésio,mg,170,"32,4","22,2",BRC0020T,Nome não encontrado
Fósforo,mg,407,"77,4","52,9",BRC0020T,Nome não encontrado
Potássio,mg,580,110,"75,5",BRC0020T,Nome não encontrado
Manganês,mg,"1,36","0,26","0,18",BRC0020T,Nome não encontrado
Zinco,mg,"2,92","0,56","0,38",BRC0020T,Nome não encontrado
Cobre,mg,"1,08","0,20","0,14",BRC0020T,Nome não encontrado
Selênio,mcg,,,,BRC0020T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0020T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,84","1,49","1,02",BRC0020T,Nome não encontrado
Tiamina,mg,"0,10","0,02","0,01",BRC0020T,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,00",BRC0020T,Nome não encontrado
Niacina,mg,"10,2","1,93","1,32",BRC0020T,Nome não encontrado
Vitamina B6,mg,"0,76","0,14","0,10",BRC0020T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0020T,Nome não encontrado
Equivalente de folato,mcg,242,"46,1","31,5",BRC0020T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
Proteína vegetal,g,"25,4","4,82","3,30",BRC0020T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0020T,Nome não encontrado
