componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,237,47,307,BRC0945B,Nome não encontrado
Energia,kcal,56,11,73,BRC0945B,Nome não encontrado
Umidade,g,"86,2","17,2",112,BRC0945B,Nome não encontrado
Carboidrato total,g,"9,62","1,92","12,5",BRC0945B,Nome não encontrado
Carboidrato disponível,g,"8,67","1,73","11,3",BRC0945B,Nome não encontrado
Proteína,g,"1,88","0,38","2,44",BRC0945B,Nome não encontrado
Lipídios,g,"1,35","0,27","1,76",BRC0945B,Nome não encontrado
Fibra alimentar,g,"0,95","0,19","1,24",BRC0945B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0945B,Nome não encontrado
Cinzas,g,"1,00","0,20","1,31",BRC0945B,Nome não encontrado
Colesterol,mg,"1,90","0,38","2,46",BRC0945B,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,05","0,30",BRC0945B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,06","0,40",BRC0945B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,15","0,99",BRC0945B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0945B,Nome não encontrado
Cálcio,mg,"12,1","2,42","15,7",BRC0945B,Nome não encontrado
Ferro,mg,"0,12","0,02","0,15",BRC0945B,Nome não encontrado
Sódio,mg,189,"37,8",245,BRC0945B,Nome não encontrado
Magnésio,mg,"9,08","1,82","11,8",BRC0945B,Nome não encontrado
Fósforo,mg,"35,5","7,10","46,2",BRC0945B,Nome não encontrado
Potássio,mg,138,"27,6",179,BRC0945B,Nome não encontrado
Manganês,mg,"0,09","0,02","0,12",BRC0945B,Nome não encontrado
Zinco,mg,"0,21","0,04","0,28",BRC0945B,Nome não encontrado
Cobre,mg,"0,08","0,02","0,10",BRC0945B,Nome não encontrado
Selênio,mcg,"0,65","0,13","0,85",BRC0945B,Nome não encontrado
Vitamina A (RE),mcg,"49,4","9,88","64,2",BRC0945B,Nome não encontrado
Vitamina A (RAE),mcg,"25,2","5,05","32,8",BRC0945B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0945B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,89","0,18","1,16",BRC0945B,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,03",BRC0945B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0945B,Nome não encontrado
Niacina,mg,"0,22","0,04","0,29",BRC0945B,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,07",BRC0945B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0945B,Nome não encontrado
Vitamina C,mg,"1,89","0,38","2,45",BRC0945B,Nome não encontrado
Equivalente de folato,mcg,"7,01","1,40","9,12",BRC0945B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0945B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0945B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0945B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0945B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0945B,Nome não encontrado
