componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,620,495,278,BRC1053B,Nome não encontrado
Energia,kcal,148,118,66,BRC1053B,Nome não encontrado
Umidade,g,"68,0","54,4","30,6",BRC1053B,Nome não encontrado
Carboidrato total,g,"25,9","20,7","11,7",BRC1053B,Nome não encontrado
Carboidrato disponível,g,"24,4","19,5","11,0",BRC1053B,Nome não encontrado
Proteína,g,"0,86","0,68","0,38",BRC1053B,Nome não encontrado
Lipídios,g,"4,83","3,86","2,17",BRC1053B,Nome não encontrado
Fibra alimentar,g,"1,51","1,21","0,68",BRC1053B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1053B,Nome não encontrado
Cinzas,g,"0,44","0,35","0,20",BRC1053B,Nome não encontrado
Colesterol,mg,"11,9","9,55","5,37",BRC1053B,Nome não encontrado
Ácidos graxos saturados,g,"2,84","2,28","1,28",BRC1053B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,26","1,01","0,57",BRC1053B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,12","0,07",BRC1053B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,11","0,06",BRC1053B,Nome não encontrado
Cálcio,mg,"26,6","21,3","12,0",BRC1053B,Nome não encontrado
Ferro,mg,"0,07","0,06","0,03",BRC1053B,Nome não encontrado
Sódio,mg,"7,33","5,87","3,30",BRC1053B,Nome não encontrado
Magnésio,mg,"23,7","18,9","10,7",BRC1053B,Nome não encontrado
Fósforo,mg,"27,5","22,0","12,4",BRC1053B,Nome não encontrado
Potássio,mg,"98,3","78,6","44,2",BRC1053B,Nome não encontrado
Manganês,mg,"0,05","0,04","0,02",BRC1053B,Nome não encontrado
Zinco,mg,"0,19","0,15","0,08",BRC1053B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC1053B,Nome não encontrado
Selênio,mcg,"0,95","0,76","0,43",BRC1053B,Nome não encontrado
Vitamina A (RE),mcg,"65,7","52,5","29,5",BRC1053B,Nome não encontrado
Vitamina A (RAE),mcg,"60,6","48,4","27,3",BRC1053B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1053B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,19","0,11",BRC1053B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,02",BRC1053B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1053B,Nome não encontrado
Niacina,mg,"0,14","0,12","0,06",BRC1053B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC1053B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1053B,Nome não encontrado
Vitamina C,mg,"9,34","7,47","4,20",BRC1053B,Nome não encontrado
Equivalente de folato,mcg,"8,85","7,08","3,98",BRC1053B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1053B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1053B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1053B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1053B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1053B,Nome não encontrado
