componente,unidade,Valor por 100g,Colher sopa cheia (22 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1288,283,180,BRC0002T,Nome não encontrado
Energia,kcal,306,67,42,BRC0002T,Nome não encontrado
Umidade,g,"12,0","2,63","1,67",BRC0002T,Nome não encontrado
Carboidrato total,g,"60,4","13,3","8,46",BRC0002T,Nome não encontrado
Carboidrato disponível,g,"40,0","8,81","5,61",BRC0002T,Nome não encontrado
Proteína,g,"22,1","4,86","3,09",BRC0002T,Nome não encontrado
Lipídios,g,"1,87","0,41","0,26",BRC0002T,Nome não encontrado
Fibra alimentar,g,"20,4","4,48","2,85",BRC0002T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Cinzas,g,"3,67","0,81","0,51",BRC0002T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,07","0,04",BRC0002T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,03","0,02",BRC0002T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,34","0,30","0,19",BRC0002T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0002T,Nome não encontrado
Cálcio,mg,106,"23,3","14,9",BRC0002T,Nome não encontrado
Ferro,mg,"6,99","1,54","0,98",BRC0002T,Nome não encontrado
Sódio,mg,"0,95","0,21","0,13",BRC0002T,Nome não encontrado
Magnésio,mg,147,"32,4","20,6",BRC0002T,Nome não encontrado
Fósforo,mg,367,"80,9","51,5",BRC0002T,Nome não encontrado
Potássio,mg,1361,299,190,BRC0002T,Nome não encontrado
Manganês,mg,"1,26","0,28","0,18",BRC0002T,Nome não encontrado
Zinco,mg,"2,83","0,62","0,40",BRC0002T,Nome não encontrado
Cobre,mg,"0,76","0,17","0,11",BRC0002T,Nome não encontrado
Selênio,mcg,"0,10","0,02","0,01",BRC0002T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0002T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0002T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,07","0,04",BRC0002T,Nome não encontrado
Tiamina,mg,"0,17","0,04","0,02",BRC0002T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0002T,Nome não encontrado
Niacina,mg,"4,12","0,91","0,58",BRC0002T,Nome não encontrado
Vitamina B6,mg,"0,67","0,15","0,09",BRC0002T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Vitamina C,mg,"6,26","1,38","0,88",BRC0002T,Nome não encontrado
Equivalente de folato,mcg,521,114,"73,0",BRC0002T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
Proteína vegetal,g,"22,1","4,86","3,09",BRC0002T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0002T,Nome não encontrado
