componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,215,118,BRC0344N,Nome não encontrado
Energia,kcal,51,28,BRC0344N,Nome não encontrado
Umidade,g,"87,5","48,1",BRC0344N,Nome não encontrado
Carboidrato total,g,"8,66","4,76",BRC0344N,Nome não encontrado
Carboidrato disponível,g,"7,51","4,13",BRC0344N,Nome não encontrado
Proteína,g,"2,01","1,11",BRC0344N,Nome não encontrado
Lipídios,g,"1,19","0,65",BRC0344N,Nome não encontrado
Fibra alimentar,g,"1,14","0,63",BRC0344N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0344N,Nome não encontrado
Cinzas,g,"0,63","0,35",BRC0344N,Nome não encontrado
Colesterol,mg,"4,41","2,42",BRC0344N,Nome não encontrado
Ácidos graxos saturados,g,"0,61","0,34",BRC0344N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,34","0,18",BRC0344N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,07",BRC0344N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0344N,Nome não encontrado
Cálcio,mg,"60,8","33,4",BRC0344N,Nome não encontrado
Ferro,mg,"0,19","0,11",BRC0344N,Nome não encontrado
Sódio,mg,"22,6","12,5",BRC0344N,Nome não encontrado
Magnésio,mg,"10,3","5,67",BRC0344N,Nome não encontrado
Fósforo,mg,"46,6","25,6",BRC0344N,Nome não encontrado
Potássio,mg,131,"72,4",BRC0344N,Nome não encontrado
Manganês,mg,"0,10","0,06",BRC0344N,Nome não encontrado
Zinco,mg,"0,19","0,10",BRC0344N,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0344N,Nome não encontrado
Selênio,mcg,"0,97","0,53",BRC0344N,Nome não encontrado
Vitamina A (RE),mcg,103,"57,0",BRC0344N,Nome não encontrado
Vitamina A (RAE),mcg,"58,9","32,4",BRC0344N,Nome não encontrado
Vitamina D,mcg,"0,03","0,02",BRC0344N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,20",BRC0344N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0344N,Nome não encontrado
Riboflavina,mg,"0,13","0,07",BRC0344N,Nome não encontrado
Niacina,mg,traços,traços,BRC0344N,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0344N,Nome não encontrado
Vitamina B12,mcg,"0,15","0,08",BRC0344N,Nome não encontrado
Vitamina C,mg,"30,5","16,8",BRC0344N,Nome não encontrado
Equivalente de folato,mcg,"22,8","12,5",BRC0344N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0344N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0344N,Nome não encontrado
Gordura de adição,g,-,-,BRC0344N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0344N,Nome não encontrado
Proteína animal,g,-,-,BRC0344N,Nome não encontrado
