componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,302,166,BRC0252N,Nome não encontrado
Energia,kcal,72,39,BRC0252N,Nome não encontrado
Umidade,g,"85,3","46,9",BRC0252N,Nome não encontrado
Carboidrato total,g,"5,44","2,99",BRC0252N,Nome não encontrado
Carboidrato disponível,g,"4,79","2,63",BRC0252N,Nome não encontrado
Proteína,g,"5,00","2,75",BRC0252N,Nome não encontrado
Lipídios,g,"3,54","1,94",BRC0252N,Nome não encontrado
Fibra alimentar,g,"0,65","0,36",BRC0252N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0252N,Nome não encontrado
Cinzas,g,"0,78","0,43",BRC0252N,Nome não encontrado
Colesterol,mg,146,"80,5",BRC0252N,Nome não encontrado
Ácidos graxos saturados,g,"1,08","0,60",BRC0252N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,41","0,77",BRC0252N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,23",BRC0252N,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0252N,Nome não encontrado
Cálcio,mg,"20,4","11,2",BRC0252N,Nome não encontrado
Ferro,mg,"0,63","0,35",BRC0252N,Nome não encontrado
Sódio,mg,152,"83,9",BRC0252N,Nome não encontrado
Magnésio,mg,"6,82","3,75",BRC0252N,Nome não encontrado
Fósforo,mg,"78,0","42,9",BRC0252N,Nome não encontrado
Potássio,mg,145,"80,0",BRC0252N,Nome não encontrado
Manganês,mg,"0,04","0,02",BRC0252N,Nome não encontrado
Zinco,mg,"0,52","0,29",BRC0252N,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0252N,Nome não encontrado
Selênio,mcg,"6,18","3,40",BRC0252N,Nome não encontrado
Vitamina A (RE),mcg,"16,4","9,04",BRC0252N,Nome não encontrado
Vitamina A (RAE),mcg,"8,43","4,64",BRC0252N,Nome não encontrado
Vitamina D,mcg,"0,72","0,40",BRC0252N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,20",BRC0252N,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0252N,Nome não encontrado
Riboflavina,mg,"0,11","0,06",BRC0252N,Nome não encontrado
Niacina,mg,"0,08","0,05",BRC0252N,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0252N,Nome não encontrado
Vitamina B12,mcg,"0,37","0,21",BRC0252N,Nome não encontrado
Vitamina C,mg,"1,63","0,90",BRC0252N,Nome não encontrado
Equivalente de folato,mcg,"17,9","9,83",BRC0252N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0252N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0252N,Nome não encontrado
Gordura de adição,g,-,-,BRC0252N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0252N,Nome não encontrado
Proteína animal,g,-,-,BRC0252N,Nome não encontrado
