componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,502,301,200,BRC0724B,Nome não encontrado
Energia,kcal,120,72,48,BRC0724B,Nome não encontrado
Umidade,g,"78,0","46,8","31,2",BRC0724B,Nome não encontrado
Carboidrato total,g,"7,05","4,23","2,82",BRC0724B,Nome não encontrado
Carboidrato disponível,g,"5,71","3,43","2,28",BRC0724B,Nome não encontrado
Proteína,g,"5,54","3,32","2,22",BRC0724B,Nome não encontrado
Lipídios,g,"8,00","4,80","3,20",BRC0724B,Nome não encontrado
Fibra alimentar,g,"1,34","0,80","0,54",BRC0724B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0724B,Nome não encontrado
Cinzas,g,"1,46","0,88","0,58",BRC0724B,Nome não encontrado
Colesterol,mg,"16,5","9,90","6,60",BRC0724B,Nome não encontrado
Ácidos graxos saturados,g,"4,64","2,78","1,86",BRC0724B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,05","1,23","0,82",BRC0724B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,13","0,08",BRC0724B,Nome não encontrado
Ácidos graxos trans,g,"0,23","0,14","0,09",BRC0724B,Nome não encontrado
Cálcio,mg,164,"98,4","65,6",BRC0724B,Nome não encontrado
Ferro,mg,"0,50","0,30","0,20",BRC0724B,Nome não encontrado
Sódio,mg,302,181,120,BRC0724B,Nome não encontrado
Magnésio,mg,"13,9","8,34","5,56",BRC0724B,Nome não encontrado
Fósforo,mg,126,"75,6","50,4",BRC0724B,Nome não encontrado
Potássio,mg,138,"82,8","55,2",BRC0724B,Nome não encontrado
Manganês,mg,"0,09","0,05","0,04",BRC0724B,Nome não encontrado
Zinco,mg,"0,73","0,44","0,29",BRC0724B,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0724B,Nome não encontrado
Selênio,mcg,"2,57","1,54","1,03",BRC0724B,Nome não encontrado
Vitamina A (RE),mcg,149,"89,4","59,6",BRC0724B,Nome não encontrado
Vitamina A (RAE),mcg,103,"61,8","41,2",BRC0724B,Nome não encontrado
Vitamina D,mcg,"0,62","0,37","0,25",BRC0724B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,22","0,14",BRC0724B,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0724B,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0724B,Nome não encontrado
Niacina,mg,"0,83","0,50","0,33",BRC0724B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0724B,Nome não encontrado
Vitamina B12,mcg,"0,24","0,14","0,10",BRC0724B,Nome não encontrado
Vitamina C,mg,"6,21","3,73","2,48",BRC0724B,Nome não encontrado
Equivalente de folato,mcg,"23,1","13,9","9,24",BRC0724B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,13",BRC0724B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0724B,Nome não encontrado
Gordura de adição,g,"2,71","1,63","1,08",BRC0724B,Nome não encontrado
Proteína vegetal,g,"0,95","0,57","0,38",BRC0724B,Nome não encontrado
Proteína animal,g,"4,47","2,68","1,79",BRC0724B,Nome não encontrado
