componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,79,190,130,BRC0241C,Nome não encontrado
Energia,kcal,19,45,31,BRC0241C,Nome não encontrado
Umidade,g,"94,8",227,156,BRC0241C,Nome não encontrado
Carboidrato total,g,"4,59","11,0","7,58",BRC0241C,Nome não encontrado
Carboidrato disponível,g,"3,78","9,07","6,24",BRC0241C,Nome não encontrado
Proteína,g,"0,35","0,84","0,57",BRC0241C,Nome não encontrado
Lipídios,g,"0,07","0,17","0,12",BRC0241C,Nome não encontrado
Fibra alimentar,g,"0,81","1,95","1,34",BRC0241C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Cinzas,g,"0,15","0,36","0,24",BRC0241C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01","0,01",BRC0241C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,02","0,01",BRC0241C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,10","0,07",BRC0241C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0241C,Nome não encontrado
Cálcio,mg,"1,92","4,61","3,17",BRC0241C,Nome não encontrado
Ferro,mg,"0,08","0,19","0,13",BRC0241C,Nome não encontrado
Sódio,mg,"1,64","3,93","2,70",BRC0241C,Nome não encontrado
Magnésio,mg,"2,96","7,10","4,88",BRC0241C,Nome não encontrado
Fósforo,mg,"4,30","10,3","7,10",BRC0241C,Nome não encontrado
Potássio,mg,"53,2",127,"87,8",BRC0241C,Nome não encontrado
Manganês,mg,"0,05","0,12","0,09",BRC0241C,Nome não encontrado
Zinco,mg,"0,10","0,23","0,16",BRC0241C,Nome não encontrado
Cobre,mg,"0,03","0,08","0,05",BRC0241C,Nome não encontrado
Selênio,mcg,"0,17","0,40","0,28",BRC0241C,Nome não encontrado
Vitamina A (RE),mcg,"1,32","3,18","2,18",BRC0241C,Nome não encontrado
Vitamina A (RAE),mcg,"0,66","1,58","1,09",BRC0241C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,08","0,05",BRC0241C,Nome não encontrado
Tiamina,mg,"0,05","0,12","0,08",BRC0241C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0241C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0241C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0241C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Vitamina C,mg,"24,4","58,5","40,2",BRC0241C,Nome não encontrado
Equivalente de folato,mcg,"3,33","7,99","5,49",BRC0241C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
Proteína vegetal,g,"0,35","0,84","0,57",BRC0241C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0241C,Nome não encontrado
