componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,646,1292,BRC0152H,Nome não encontrado
Energia,kcal,154,308,BRC0152H,Nome não encontrado
Umidade,g,"70,3",140,BRC0152H,Nome não encontrado
Carboidrato total,g,"16,9","33,8",BRC0152H,Nome não encontrado
Carboidrato disponível,g,"16,6","33,2",BRC0152H,Nome não encontrado
Proteína,g,"0,08","0,16",BRC0152H,Nome não encontrado
Lipídios,g,"0,09","0,17",BRC0152H,Nome não encontrado
Fibra alimentar,g,"0,39","0,78",BRC0152H,Nome não encontrado
Álcool,g,"12,3","24,6",BRC0152H,Nome não encontrado
Cinzas,g,"0,13","0,26",BRC0152H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0152H,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,06",BRC0152H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,01",BRC0152H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0152H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0152H,Nome não encontrado
Cálcio,mg,"4,56","9,12",BRC0152H,Nome não encontrado
Ferro,mg,"0,07","0,14",BRC0152H,Nome não encontrado
Sódio,mg,"3,77","7,54",BRC0152H,Nome não encontrado
Magnésio,mg,"2,42","4,84",BRC0152H,Nome não encontrado
Fósforo,mg,"2,58","5,16",BRC0152H,Nome não encontrado
Potássio,mg,"47,3","94,6",BRC0152H,Nome não encontrado
Manganês,mg,"0,18","0,36",BRC0152H,Nome não encontrado
Zinco,mg,"0,01","0,02",BRC0152H,Nome não encontrado
Cobre,mg,"0,11","0,22",BRC0152H,Nome não encontrado
Selênio,mcg,"0,12","0,24",BRC0152H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0152H,Nome não encontrado
Vitamina A (RAE),mcg,"0,05","0,10",BRC0152H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0152H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,15",BRC0152H,Nome não encontrado
Tiamina,mg,traços,,BRC0152H,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0152H,Nome não encontrado
Niacina,mg,"0,01","0,02",BRC0152H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0152H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0152H,Nome não encontrado
Vitamina C,mg,"0,22","0,44",BRC0152H,Nome não encontrado
Equivalente de folato,mcg,"0,45","0,90",BRC0152H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0152H,Nome não encontrado
Açúcar de adição,g,"15,0","30,0",BRC0152H,Nome não encontrado
Gordura de adição,g,-,-,BRC0152H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0152H,Nome não encontrado
Proteína animal,g,-,-,BRC0152H,Nome não encontrado
