componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1424,56,14,BRC1076B,Nome não encontrado
Energia,kcal,337,13,3,BRC1076B,Nome não encontrado
Umidade,g,"5,39","0,22","0,05",BRC1076B,Nome não encontrado
Carboidrato total,g,"79,1","3,16","0,79",BRC1076B,Nome não encontrado
Carboidrato disponível,g,"63,9","2,56","0,64",BRC1076B,Nome não encontrado
Proteína,g,"10,4","0,42","0,10",BRC1076B,Nome não encontrado
Lipídios,g,"1,04","0,04","0,01",BRC1076B,Nome não encontrado
Fibra alimentar,g,"15,2","0,61","0,15",BRC1076B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Cinzas,g,"4,04","0,16","0,04",BRC1076B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,01","0,00",BRC1076B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,01","0,00",BRC1076B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,01","0,00",BRC1076B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Cálcio,mg,384,"15,4","3,84",BRC1076B,Nome não encontrado
Ferro,mg,"3,90","0,16","0,04",BRC1076B,Nome não encontrado
Sódio,mg,"73,0","2,92","0,73",BRC1076B,Nome não encontrado
Magnésio,mg,113,"4,52","1,13",BRC1076B,Nome não encontrado
Fósforo,mg,322,"12,9","3,22",BRC1076B,Nome não encontrado
Potássio,mg,985,"39,4","9,85",BRC1076B,Nome não encontrado
Manganês,mg,"1,30","0,05","0,01",BRC1076B,Nome não encontrado
Zinco,mg,"4,05","0,16","0,04",BRC1076B,Nome não encontrado
Cobre,mg,"0,59","0,02","0,01",BRC1076B,Nome não encontrado
Selênio,mcg,"14,3","0,57","0,14",BRC1076B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,01","0,00",BRC1076B,Nome não encontrado
Tiamina,mg,"0,46","0,02","0,00",BRC1076B,Nome não encontrado
Riboflavina,mg,"0,08","0,00","0,00",BRC1076B,Nome não encontrado
Niacina,mg,"0,32","0,01","0,00",BRC1076B,Nome não encontrado
Vitamina B6,mg,"0,72","0,03","0,01",BRC1076B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Vitamina C,mg,"23,4","0,94","0,23",BRC1076B,Nome não encontrado
Equivalente de folato,mcg,"64,0","2,56","0,64",BRC1076B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
Proteína vegetal,g,"10,4","0,42","0,10",BRC1076B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1076B,Nome não encontrado
