componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,335,803,552,BRC0085G,Nome não encontrado
Energia,kcal,79,190,131,BRC0085G,Nome não encontrado
Umidade,g,"82,0",196,135,BRC0085G,Nome não encontrado
Carboidrato total,g,"13,3","32,0","22,0",BRC0085G,Nome não encontrado
Carboidrato disponível,g,"12,9","31,1","21,3",BRC0085G,Nome não encontrado
Proteína,g,"2,00","4,80","3,30",BRC0085G,Nome não encontrado
Lipídios,g,"2,10","5,04","3,47",BRC0085G,Nome não encontrado
Fibra alimentar,g,"0,40","0,97","0,67",BRC0085G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0085G,Nome não encontrado
Cinzas,g,"0,53","1,28","0,88",BRC0085G,Nome não encontrado
Colesterol,mg,"8,04","19,3","13,3",BRC0085G,Nome não encontrado
Ácidos graxos saturados,g,"1,31","3,14","2,16",BRC0085G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,61","1,46","1,00",BRC0085G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,19","0,13",BRC0085G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0085G,Nome não encontrado
Cálcio,mg,"70,5",169,116,BRC0085G,Nome não encontrado
Ferro,mg,"0,08","0,20","0,14",BRC0085G,Nome não encontrado
Sódio,mg,"42,1",100,"69,4",BRC0085G,Nome não encontrado
Magnésio,mg,"6,95","16,7","11,5",BRC0085G,Nome não encontrado
Fósforo,mg,"56,0",134,"92,4",BRC0085G,Nome não encontrado
Potássio,mg,109,262,180,BRC0085G,Nome não encontrado
Manganês,mg,"0,01","0,02","0,02",BRC0085G,Nome não encontrado
Zinco,mg,"0,25","0,60","0,41",BRC0085G,Nome não encontrado
Cobre,mg,"0,03","0,07","0,05",BRC0085G,Nome não encontrado
Selênio,mcg,"3,15","7,57","5,20",BRC0085G,Nome não encontrado
Vitamina A (RE),mcg,"33,9","81,3","55,9",BRC0085G,Nome não encontrado
Vitamina A (RAE),mcg,"32,5","78,1","53,7",BRC0085G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0085G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,25","0,17",BRC0085G,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0085G,Nome não encontrado
Riboflavina,mg,"0,16","0,37","0,26",BRC0085G,Nome não encontrado
Niacina,mg,"0,99","2,37","1,63",BRC0085G,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,01",BRC0085G,Nome não encontrado
Vitamina B12,mcg,"0,24","0,58","0,40",BRC0085G,Nome não encontrado
Vitamina C,mg,"0,72","1,73","1,19",BRC0085G,Nome não encontrado
Equivalente de folato,mcg,"3,37","8,08","5,56",BRC0085G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0085G,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0085G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0085G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0085G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0085G,Nome não encontrado
