componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1222,48,12,BRC1060B,Nome não encontrado
Energia,kcal,291,11,2,BRC1060B,Nome não encontrado
Umidade,g,"12,9","0,51","0,13",BRC1060B,Nome não encontrado
Carboidrato total,g,"67,1","2,69","0,67",BRC1060B,Nome não encontrado
Carboidrato disponível,g,"44,4","1,78","0,44",BRC1060B,Nome não encontrado
Proteína,g,"9,68","0,39","0,10",BRC1060B,Nome não encontrado
Lipídios,g,"3,25","0,13","0,03",BRC1060B,Nome não encontrado
Fibra alimentar,g,"22,7","0,91","0,23",BRC1060B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Cinzas,g,"7,08","0,28","0,07",BRC1060B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Ácidos graxos saturados,g,"1,84","0,07","0,02",BRC1060B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,45","0,02","0,00",BRC1060B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,03","0,01",BRC1060B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,00","0,00",BRC1060B,Nome não encontrado
Cálcio,mg,168,"6,72","1,68",BRC1060B,Nome não encontrado
Ferro,mg,"55,0","2,20","0,55",BRC1060B,Nome não encontrado
Sódio,mg,"27,0","1,08","0,27",BRC1060B,Nome não encontrado
Magnésio,mg,208,"8,32","2,08",BRC1060B,Nome não encontrado
Fósforo,mg,299,"12,0","2,99",BRC1060B,Nome não encontrado
Potássio,mg,2080,"83,2","20,8",BRC1060B,Nome não encontrado
Manganês,mg,"19,8","0,79","0,20",BRC1060B,Nome não encontrado
Zinco,mg,"4,50","0,18","0,05",BRC1060B,Nome não encontrado
Cobre,mg,"1,30","0,05","0,01",BRC1060B,Nome não encontrado
Selênio,mcg,"6,20","0,25","0,06",BRC1060B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"4,43","0,18","0,04",BRC1060B,Nome não encontrado
Tiamina,mg,"0,06","0,00","0,00",BRC1060B,Nome não encontrado
Riboflavina,mg,"0,15","0,01","0,00",BRC1060B,Nome não encontrado
Niacina,mg,"1,35","0,05","0,01",BRC1060B,Nome não encontrado
Vitamina B6,mg,"0,11","0,00","0,00",BRC1060B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Vitamina C,mg,"0,70","0,03","0,01",BRC1060B,Nome não encontrado
Equivalente de folato,mcg,"20,0","0,80","0,20",BRC1060B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
Proteína vegetal,g,"9,68","0,39","0,10",BRC1060B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1060B,Nome não encontrado
