componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (70 g),codigo_alimento,nome_alimento
Energia,kJ,683,478,BRC0020J,Nome não encontrado
Energia,kcal,164,114,BRC0020J,Nome não encontrado
Umidade,g,"72,9","51,0",BRC0020J,Nome não encontrado
Carboidrato total,g,"2,34","1,64",BRC0020J,Nome não encontrado
Carboidrato disponível,g,"2,34","1,64",BRC0020J,Nome não encontrado
Proteína,g,"12,2","8,56",BRC0020J,Nome não encontrado
Lipídios,g,"11,8","8,24",BRC0020J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0020J,Nome não encontrado
Álcool,g,,,BRC0020J,Nome não encontrado
Cinzas,g,"0,79","0,55",BRC0020J,Nome não encontrado
Colesterol,mg,755,528,BRC0020J,Nome não encontrado
Ácidos graxos saturados,g,"3,15","2,20",BRC0020J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,58","3,90",BRC0020J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,05","0,73",BRC0020J,Nome não encontrado
Ácidos graxos trans,g,,,BRC0020J,Nome não encontrado
Cálcio,mg,"59,5","41,7",BRC0020J,Nome não encontrado
Ferro,mg,"3,58","2,51",BRC0020J,Nome não encontrado
Sódio,mg,135,"95,1",BRC0020J,Nome não encontrado
Magnésio,mg,"15,8","11,1",BRC0020J,Nome não encontrado
Fósforo,mg,204,143,BRC0020J,Nome não encontrado
Potássio,mg,206,144,BRC0020J,Nome não encontrado
Manganês,mg,,,BRC0020J,Nome não encontrado
Zinco,mg,"1,31","0,92",BRC0020J,Nome não encontrado
Cobre,mg,,,BRC0020J,Nome não encontrado
Selênio,mcg,,,BRC0020J,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0020J,Nome não encontrado
Vitamina A (RAE),mcg,165,116,BRC0020J,Nome não encontrado
Vitamina D,mcg,"1,45","1,02",BRC0020J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,15","0,80",BRC0020J,Nome não encontrado
Tiamina,mg,"0,15","0,10",BRC0020J,Nome não encontrado
Riboflavina,mg,"0,38","0,26",BRC0020J,Nome não encontrado
Niacina,mg,"0,19","0,13",BRC0020J,Nome não encontrado
Vitamina B6,mg,"0,23","0,16",BRC0020J,Nome não encontrado
Vitamina B12,mcg,"5,02","3,52",BRC0020J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0020J,Nome não encontrado
Equivalente de folato,mcg,"74,4","52,1",BRC0020J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0020J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0020J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0020J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0020J,Nome não encontrado
Proteína animal,g,"12,2","8,56",BRC0020J,Nome não encontrado
