componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (25 g),codigo_alimento,nome_alimento
Energia,kJ,1051,262,BRC0849A,Nome não encontrado
Energia,kcal,252,62,BRC0849A,Nome não encontrado
Umidade,g,"53,3","13,3",BRC0849A,Nome não encontrado
Carboidrato total,g,"28,9","7,22",BRC0849A,Nome não encontrado
Carboidrato disponível,g,"27,9","6,97",BRC0849A,Nome não encontrado
Proteína,g,"3,00","0,75",BRC0849A,Nome não encontrado
Lipídios,g,"14,0","3,50",BRC0849A,Nome não encontrado
Fibra alimentar,g,"1,00","0,25",BRC0849A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0849A,Nome não encontrado
Cinzas,g,"0,80","0,20",BRC0849A,Nome não encontrado
Colesterol,mg,"32,0","8,00",BRC0849A,Nome não encontrado
Ácidos graxos saturados,g,"6,72","1,68",BRC0849A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,18","1,05",BRC0849A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,82","0,46",BRC0849A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0849A,Nome não encontrado
Cálcio,mg,"60,0","15,0",BRC0849A,Nome não encontrado
Ferro,mg,"0,36","0,09",BRC0849A,Nome não encontrado
Sódio,mg,115,"28,8",BRC0849A,Nome não encontrado
Magnésio,mg,"20,0","5,00",BRC0849A,Nome não encontrado
Fósforo,mg,128,"32,0",BRC0849A,Nome não encontrado
Potássio,mg,204,"51,0",BRC0849A,Nome não encontrado
Manganês,mg,"0,09","0,02",BRC0849A,Nome não encontrado
Zinco,mg,"0,56","0,14",BRC0849A,Nome não encontrado
Cobre,mg,"0,08","0,02",BRC0849A,Nome não encontrado
Selênio,mcg,"2,30","0,58",BRC0849A,Nome não encontrado
Vitamina A (RE),mcg,116,"29,0",BRC0849A,Nome não encontrado
Vitamina A (RAE),mcg,117,"29,3",BRC0849A,Nome não encontrado
Vitamina D,mcg,"0,10","0,03",BRC0849A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,03",BRC0849A,Nome não encontrado
Tiamina,mg,"0,09","0,02",BRC0849A,Nome não encontrado
Riboflavina,mg,"0,21","0,05",BRC0849A,Nome não encontrado
Niacina,mg,"1,11","0,28",BRC0849A,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0849A,Nome não encontrado
Vitamina B12,mcg,"0,35","0,09",BRC0849A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0849A,Nome não encontrado
Equivalente de folato,mcg,"29,0","7,25",BRC0849A,Nome não encontrado
Sal de adição,g,,,BRC0849A,Nome não encontrado
Açúcar de adição,g,,,BRC0849A,Nome não encontrado
Gordura de adição,g,,,BRC0849A,Nome não encontrado
Proteína vegetal,g,"3,00","0,75",BRC0849A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0849A,Nome não encontrado
