componente,unidade,Valor por 100g,Colher café cheia (3.5 g),Colher café rasa (2 g),Colher chá cheia (8 g),Colher chá rasa (3 g),Colher sobremesa cheia (21 g),Colher sobremesa rasa (11 g),Colher sopa cheia (22 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,1020,35,20,81,30,214,112,224,173,BRC0152G,Nome não encontrado
Energia,kcal,247,8,4,19,7,51,27,54,41,BRC0152G,Nome não encontrado
Umidade,g,"65,3","2,28","1,31","5,22","1,96","13,7","7,18","14,4","11,1",BRC0152G,Nome não encontrado
Carboidrato total,g,"4,28","0,15","0,09","0,34","0,13","0,90","0,47","0,94","0,73",BRC0152G,Nome não encontrado
Carboidrato disponível,g,"3,86","0,14","0,08","0,31","0,12","0,81","0,43","0,85","0,66",BRC0152G,Nome não encontrado
Proteína,g,"5,00","0,18","0,10","0,40","0,15","1,05","0,55","1,10","0,85",BRC0152G,Nome não encontrado
Lipídios,g,"23,4","0,82","0,47","1,87","0,70","4,92","2,58","5,15","3,98",BRC0152G,Nome não encontrado
Fibra alimentar,g,"0,42","0,01","0,01","0,03","0,01","0,09","0,05","0,09","0,07",BRC0152G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0152G,Nome não encontrado
Cinzas,g,"2,00","0,07","0,04","0,16","0,06","0,42","0,22","0,44","0,34",BRC0152G,Nome não encontrado
Colesterol,mg,"59,4","2,08","1,19","4,75","1,78","12,5","6,53","13,1","10,1",BRC0152G,Nome não encontrado
Ácidos graxos saturados,g,"10,6","0,37","0,21","0,85","0,32","2,23","1,17","2,33","1,80",BRC0152G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,88","0,21","0,12","0,47","0,18","1,23","0,65","1,29","1,00",BRC0152G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,95","0,07","0,04","0,16","0,06","0,41","0,21","0,43","0,33",BRC0152G,Nome não encontrado
Ácidos graxos trans,g,"0,53","0,02","0,01","0,04","0,02","0,11","0,06","0,12","0,09",BRC0152G,Nome não encontrado
Cálcio,mg,164,"5,75","3,29","13,1","4,93","34,5","18,1","36,2","27,9",BRC0152G,Nome não encontrado
Ferro,mg,"0,57","0,02","0,01","0,05","0,02","0,12","0,06","0,12","0,10",BRC0152G,Nome não encontrado
Sódio,mg,475,"16,6","9,51","38,0","14,3","99,9","52,3",104,"80,9",BRC0152G,Nome não encontrado
Magnésio,mg,"12,1","0,42","0,24","0,97","0,36","2,54","1,33","2,66","2,05",BRC0152G,Nome não encontrado
Fósforo,mg,229,"8,02","4,59","18,3","6,88","48,1","25,2","50,4","39,0",BRC0152G,Nome não encontrado
Potássio,mg,126,"4,43","2,53","10,1","3,79","26,6","13,9","27,8","21,5",BRC0152G,Nome não encontrado
Manganês,mg,"0,11","0,00","0,00","0,01","0,00","0,02","0,01","0,03","0,02",BRC0152G,Nome não encontrado
Zinco,mg,"0,76","0,03","0,02","0,06","0,02","0,16","0,08","0,17","0,13",BRC0152G,Nome não encontrado
Cobre,mg,"0,05","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01",BRC0152G,Nome não encontrado
Selênio,mcg,"6,24","0,22","0,12","0,50","0,19","1,31","0,69","1,37","1,06",BRC0152G,Nome não encontrado
Vitamina A (RE),mcg,197,"6,91","3,95","15,8","5,92","41,5","21,7","43,4","33,6",BRC0152G,Nome não encontrado
Vitamina A (RAE),mcg,171,"6,00","3,43","13,7","5,14","36,0","18,9","37,7","29,1",BRC0152G,Nome não encontrado
Vitamina D,mcg,"0,60","0,02","0,01","0,05","0,02","0,13","0,07","0,13","0,10",BRC0152G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,87","0,03","0,02","0,07","0,03","0,18","0,10","0,19","0,15",BRC0152G,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0152G,Nome não encontrado
Riboflavina,mg,"0,14","0,00","0,00","0,01","0,00","0,03","0,02","0,03","0,02",BRC0152G,Nome não encontrado
Niacina,mg,"0,08","0,00","0,00","0,01","0,00","0,02","0,01","0,02","0,01",BRC0152G,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0152G,Nome não encontrado
Vitamina B12,mcg,"0,21","0,01","0,00","0,02","0,01","0,04","0,02","0,05","0,04",BRC0152G,Nome não encontrado
Vitamina C,mg,"2,32","0,08","0,05","0,19","0,07","0,49","0,26","0,51","0,40",BRC0152G,Nome não encontrado
Equivalente de folato,mcg,"14,9","0,52","0,30","1,19","0,45","3,13","1,64","3,28","2,53",BRC0152G,Nome não encontrado
Sal de adição,g,,,,,,,,,,BRC0152G,Nome não encontrado
Açúcar de adição,g,,,,,,,,,,BRC0152G,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,-,-,BRC0152G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,-,-,BRC0152G,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,-,-,BRC0152G,Nome não encontrado
