componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,823,287,139,1151,658,BRC0223T,Nome não encontrado
Energia,kcal,199,69,33,278,158,BRC0223T,Nome não encontrado
Umidade,g,"64,5","22,6","11,0","90,3","51,6",BRC0223T,Nome não encontrado
Carboidrato total,g,"11,3","3,97","1,93","15,9","9,07",BRC0223T,Nome não encontrado
Carboidrato disponível,g,"4,90","1,72","0,83","6,86","3,92",BRC0223T,Nome não encontrado
Proteína,g,"8,97","3,14","1,52","12,6","7,17",BRC0223T,Nome não encontrado
Lipídios,g,"14,5","5,07","2,46","20,3","11,6",BRC0223T,Nome não encontrado
Fibra alimentar,g,"6,44","2,25","1,09","9,01","5,15",BRC0223T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0223T,Nome não encontrado
Cinzas,g,"0,71","0,25","0,12","0,99","0,56",BRC0223T,Nome não encontrado
Colesterol,mg,"17,9","6,26","3,04","25,1","14,3",BRC0223T,Nome não encontrado
Ácidos graxos saturados,g,"4,26","1,49","0,72","5,96","3,41",BRC0223T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,60","1,96","0,95","7,83","4,48",BRC0223T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,87","1,35","0,66","5,41","3,09",BRC0223T,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,04","0,02","0,17","0,10",BRC0223T,Nome não encontrado
Cálcio,mg,"24,5","8,57","4,16","34,3","19,6",BRC0223T,Nome não encontrado
Ferro,mg,"1,29","0,45","0,22","1,81","1,03",BRC0223T,Nome não encontrado
Sódio,mg,"26,5","9,26","4,50","37,0","21,2",BRC0223T,Nome não encontrado
Magnésio,mg,"33,0","11,5","5,61","46,2","26,4",BRC0223T,Nome não encontrado
Fósforo,mg,"88,7","31,0","15,1",124,"70,9",BRC0223T,Nome não encontrado
Potássio,mg,241,"84,6","41,1",338,193,BRC0223T,Nome não encontrado
Manganês,mg,"0,29","0,10","0,05","0,40","0,23",BRC0223T,Nome não encontrado
Zinco,mg,"1,57","0,55","0,27","2,20","1,26",BRC0223T,Nome não encontrado
Cobre,mg,"0,45","0,16","0,08","0,63","0,36",BRC0223T,Nome não encontrado
Selênio,mcg,"2,07","0,72","0,35","2,89","1,65",BRC0223T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0223T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0223T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0223T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,09","0,04","0,36","0,20",BRC0223T,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,07","0,04",BRC0223T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0223T,Nome não encontrado
Niacina,mg,"1,01","0,35","0,17","1,41","0,81",BRC0223T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,05","0,03",BRC0223T,Nome não encontrado
Vitamina B12,mcg,"0,35","0,12","0,06","0,48","0,28",BRC0223T,Nome não encontrado
Vitamina C,mg,"0,45","0,16","0,08","0,63","0,36",BRC0223T,Nome não encontrado
Equivalente de folato,mcg,"65,8","23,0","11,2","92,1","52,7",BRC0223T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0223T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0223T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0223T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0223T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0223T,Nome não encontrado
