componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,409,224,122,BRC0956B,Nome não encontrado
Energia,kcal,99,54,29,BRC0956B,Nome não encontrado
Umidade,g,"83,8","46,1","25,1",BRC0956B,Nome não encontrado
Carboidrato total,g,"8,87","4,88","2,66",BRC0956B,Nome não encontrado
Carboidrato disponível,g,"6,69","3,68","2,01",BRC0956B,Nome não encontrado
Proteína,g,"1,05","0,58","0,31",BRC0956B,Nome não encontrado
Lipídios,g,"7,02","3,86","2,10",BRC0956B,Nome não encontrado
Fibra alimentar,g,"2,21","1,22","0,66",BRC0956B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0956B,Nome não encontrado
Cinzas,g,"1,27","0,70","0,38",BRC0956B,Nome não encontrado
Colesterol,mg,"7,18","3,95","2,15",BRC0956B,Nome não encontrado
Ácidos graxos saturados,g,"1,09","0,60","0,33",BRC0956B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,76","0,97","0,53",BRC0956B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,80","2,09","1,14",BRC0956B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0956B,Nome não encontrado
Cálcio,mg,"12,2","6,69","3,65",BRC0956B,Nome não encontrado
Ferro,mg,"0,23","0,13","0,07",BRC0956B,Nome não encontrado
Sódio,mg,355,195,106,BRC0956B,Nome não encontrado
Magnésio,mg,"8,69","4,78","2,61",BRC0956B,Nome não encontrado
Fósforo,mg,"22,2","12,2","6,66",BRC0956B,Nome não encontrado
Potássio,mg,140,"77,5","42,3",BRC0956B,Nome não encontrado
Manganês,mg,"0,10","0,05","0,03",BRC0956B,Nome não encontrado
Zinco,mg,"0,16","0,09","0,05",BRC0956B,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01",BRC0956B,Nome não encontrado
Selênio,mcg,,,,BRC0956B,Nome não encontrado
Vitamina A (RE),mcg,282,155,"84,6",BRC0956B,Nome não encontrado
Vitamina A (RAE),mcg,140,"77,3","42,2",BRC0956B,Nome não encontrado
Vitamina D,mcg,,,,BRC0956B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0956B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01",BRC0956B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0956B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0956B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01",BRC0956B,Nome não encontrado
Vitamina B12,mcg,,,,BRC0956B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0956B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0956B,Nome não encontrado
Sal de adição,g,"0,32","0,18","0,10",BRC0956B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0956B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0956B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0956B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0956B,Nome não encontrado
