componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,131,26,BRC0700B,Nome não encontrado
Energia,kcal,31,6,BRC0700B,Nome não encontrado
Umidade,g,"89,7","17,9",BRC0700B,Nome não encontrado
Carboidrato total,g,"6,61","1,32",BRC0700B,Nome não encontrado
Carboidrato disponível,g,"2,37","0,47",BRC0700B,Nome não encontrado
Proteína,g,"2,57","0,51",BRC0700B,Nome não encontrado
Lipídios,g,"0,35","0,07",BRC0700B,Nome não encontrado
Fibra alimentar,g,"4,24","0,85",BRC0700B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0700B,Nome não encontrado
Cinzas,g,"0,77","0,15",BRC0700B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0700B,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01",BRC0700B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01",BRC0700B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,02",BRC0700B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0700B,Nome não encontrado
Cálcio,mg,"7,45","1,49",BRC0700B,Nome não encontrado
Ferro,mg,"9,63","1,93",BRC0700B,Nome não encontrado
Sódio,mg,"5,69","1,14",BRC0700B,Nome não encontrado
Magnésio,mg,132,"26,5",BRC0700B,Nome não encontrado
Fósforo,mg,1095,219,BRC0700B,Nome não encontrado
Potássio,mg,3171,634,BRC0700B,Nome não encontrado
Manganês,mg,"8,49","1,70",BRC0700B,Nome não encontrado
Zinco,mg,"8,70","1,74",BRC0700B,Nome não encontrado
Cobre,mg,"1,76","0,35",BRC0700B,Nome não encontrado
Selênio,mcg,"2,48","0,50",BRC0700B,Nome não encontrado
Vitamina A (RE),mcg,"49,8","9,96",BRC0700B,Nome não encontrado
Vitamina A (RAE),mcg,"24,9","4,98",BRC0700B,Nome não encontrado
Vitamina D,mcg,"0,60","0,12",BRC0700B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0700B,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0700B,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0700B,Nome não encontrado
Niacina,mg,"3,30","0,66",BRC0700B,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0700B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0700B,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0700B,Nome não encontrado
Equivalente de folato,mcg,"36,2","7,25",BRC0700B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0700B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0700B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0700B,Nome não encontrado
Proteína vegetal,g,"2,55","0,51",BRC0700B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0700B,Nome não encontrado
