componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,105,31,BRC0070B,Nome não encontrado
Energia,kcal,25,7,BRC0070B,Nome não encontrado
Umidade,g,"91,8","27,5",BRC0070B,Nome não encontrado
Carboidrato total,g,"4,75","1,43",BRC0070B,Nome não encontrado
Carboidrato disponível,g,"2,70","0,81",BRC0070B,Nome não encontrado
Proteína,g,"1,87","0,56",BRC0070B,Nome não encontrado
Lipídios,g,"0,28","0,08",BRC0070B,Nome não encontrado
Fibra alimentar,g,"2,05","0,61",BRC0070B,Nome não encontrado
Álcool,g,-,-,BRC0070B,Nome não encontrado
Cinzas,g,"1,33","0,40",BRC0070B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0070B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03",BRC0070B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0070B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,03",BRC0070B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0070B,Nome não encontrado
Cálcio,mg,"56,8","17,0",BRC0070B,Nome não encontrado
Ferro,mg,"3,08","0,92",BRC0070B,Nome não encontrado
Sódio,mg,"9,39","2,82",BRC0070B,Nome não encontrado
Magnésio,mg,"17,3","5,19",BRC0070B,Nome não encontrado
Fósforo,mg,"32,0","9,60",BRC0070B,Nome não encontrado
Potássio,mg,411,123,BRC0070B,Nome não encontrado
Manganês,mg,"0,34","0,10",BRC0070B,Nome não encontrado
Zinco,mg,"0,48","0,14",BRC0070B,Nome não encontrado
Cobre,mg,"0,27","0,08",BRC0070B,Nome não encontrado
Selênio,mcg,"0,28","0,08",BRC0070B,Nome não encontrado
Vitamina A (RE),mcg,538,161,BRC0070B,Nome não encontrado
Vitamina A (RAE),mcg,269,"80,7",BRC0070B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0070B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,13","0,64",BRC0070B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0070B,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0070B,Nome não encontrado
Niacina,mg,"1,54","0,46",BRC0070B,Nome não encontrado
Vitamina B6,mg,"0,36","0,11",BRC0070B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0070B,Nome não encontrado
Vitamina C,mg,"7,33","2,20",BRC0070B,Nome não encontrado
Equivalente de folato,mcg,113,"34,0",BRC0070B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0070B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0070B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0070B,Nome não encontrado
Proteína vegetal,g,"1,87","0,56",BRC0070B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0070B,Nome não encontrado
