componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,1436,287,BRC0789A,Nome não encontrado
Energia,kcal,341,68,BRC0789A,Nome não encontrado
Umidade,g,"9,59","1,92",BRC0789A,Nome não encontrado
Carboidrato total,g,"71,4","14,3",BRC0789A,Nome não encontrado
Carboidrato disponível,g,"56,3","11,3",BRC0789A,Nome não encontrado
Proteína,g,"13,8","2,76",BRC0789A,Nome não encontrado
Lipídios,g,"3,33","0,67",BRC0789A,Nome não encontrado
Fibra alimentar,g,"15,1","3,02",BRC0789A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0789A,Nome não encontrado
Cinzas,g,"1,89","0,38",BRC0789A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0789A,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,14",BRC0789A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,09",BRC0789A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,61","0,32",BRC0789A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0789A,Nome não encontrado
Cálcio,mg,"29,2","5,83",BRC0789A,Nome não encontrado
Ferro,mg,"2,51","0,50",BRC0789A,Nome não encontrado
Sódio,mg,"9,05","1,81",BRC0789A,Nome não encontrado
Magnésio,mg,"79,4","15,9",BRC0789A,Nome não encontrado
Fósforo,mg,222,"44,4",BRC0789A,Nome não encontrado
Potássio,mg,281,"56,3",BRC0789A,Nome não encontrado
Manganês,mg,"1,33","0,27",BRC0789A,Nome não encontrado
Zinco,mg,"2,14","0,43",BRC0789A,Nome não encontrado
Cobre,mg,"0,42","0,08",BRC0789A,Nome não encontrado
Selênio,mcg,"37,9","7,58",BRC0789A,Nome não encontrado
Vitamina A (RE),mcg,"6,21","1,24",BRC0789A,Nome não encontrado
Vitamina A (RAE),mcg,"3,11","0,62",BRC0789A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0789A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,01",BRC0789A,Nome não encontrado
Tiamina,mg,"0,19","0,04",BRC0789A,Nome não encontrado
Riboflavina,mg,"0,12","0,02",BRC0789A,Nome não encontrado
Niacina,mg,"4,63","0,93",BRC0789A,Nome não encontrado
Vitamina B6,mg,"0,26","0,05",BRC0789A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0789A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0789A,Nome não encontrado
Equivalente de folato,mcg,"23,1","4,63",BRC0789A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0789A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0789A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0789A,Nome não encontrado
Proteína vegetal,g,"13,8","2,76",BRC0789A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0789A,Nome não encontrado
