componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,307,61,399,BRC1058A,Nome não encontrado
Energia,kcal,73,14,94,BRC1058A,Nome não encontrado
Umidade,g,"82,5","16,5",107,BRC1058A,Nome não encontrado
Carboidrato total,g,"10,3","2,06","13,4",BRC1058A,Nome não encontrado
Carboidrato disponível,g,"9,28","1,86","12,1",BRC1058A,Nome não encontrado
Proteína,g,"4,77","0,95","6,19",BRC1058A,Nome não encontrado
Lipídios,g,"1,65","0,33","2,14",BRC1058A,Nome não encontrado
Fibra alimentar,g,"1,02","0,20","1,33",BRC1058A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1058A,Nome não encontrado
Cinzas,g,"0,83","0,17","1,08",BRC1058A,Nome não encontrado
Colesterol,mg,"6,64","1,33","8,64",BRC1058A,Nome não encontrado
Ácidos graxos saturados,g,"0,47","0,09","0,61",BRC1058A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,65",BRC1058A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,11","0,70",BRC1058A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,04",BRC1058A,Nome não encontrado
Cálcio,mg,"11,1","2,23","14,5",BRC1058A,Nome não encontrado
Ferro,mg,"0,51","0,10","0,66",BRC1058A,Nome não encontrado
Sódio,mg,198,"39,6",257,BRC1058A,Nome não encontrado
Magnésio,mg,"7,22","1,44","9,39",BRC1058A,Nome não encontrado
Fósforo,mg,"40,8","8,16","53,1",BRC1058A,Nome não encontrado
Potássio,mg,128,"25,8",167,BRC1058A,Nome não encontrado
Manganês,mg,"1,44","0,29","1,87",BRC1058A,Nome não encontrado
Zinco,mg,"0,87","0,17","1,13",BRC1058A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC1058A,Nome não encontrado
Selênio,mcg,"0,57","0,11","0,74",BRC1058A,Nome não encontrado
Vitamina A (RE),mcg,"37,1","7,43","48,3",BRC1058A,Nome não encontrado
Vitamina A (RAE),mcg,"18,8","3,76","24,4",BRC1058A,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,04",BRC1058A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,51","0,10","0,67",BRC1058A,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,03",BRC1058A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,01",BRC1058A,Nome não encontrado
Niacina,mg,"0,65","0,13","0,84",BRC1058A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC1058A,Nome não encontrado
Vitamina B12,mcg,"0,14","0,03","0,18",BRC1058A,Nome não encontrado
Vitamina C,mg,"2,94","0,59","3,83",BRC1058A,Nome não encontrado
Equivalente de folato,mcg,"25,4","5,07","33,0",BRC1058A,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC1058A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1058A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1058A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1058A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1058A,Nome não encontrado
