componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (13 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,293,58,38,381,BRC0891B,Nome não encontrado
Energia,kcal,70,13,9,90,BRC0891B,Nome não encontrado
Umidade,g,"83,8","16,8","10,9",108,BRC0891B,Nome não encontrado
Carboidrato total,g,"6,16","1,23","0,80","8,01",BRC0891B,Nome não encontrado
Carboidrato disponível,g,"5,36","1,07","0,70","6,96",BRC0891B,Nome não encontrado
Proteína,g,"7,48","1,50","0,97","9,72",BRC0891B,Nome não encontrado
Lipídios,g,"1,86","0,37","0,24","2,42",BRC0891B,Nome não encontrado
Fibra alimentar,g,"0,80","0,16","0,10","1,05",BRC0891B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0891B,Nome não encontrado
Cinzas,g,"0,95","0,19","0,12","1,24",BRC0891B,Nome não encontrado
Colesterol,mg,"18,9","3,79","2,46","24,6",BRC0891B,Nome não encontrado
Ácidos graxos saturados,g,"0,42","0,08","0,05","0,55",BRC0891B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,10","0,06","0,64",BRC0891B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,16","0,11","1,05",BRC0891B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,00","0,02",BRC0891B,Nome não encontrado
Cálcio,mg,"11,8","2,36","1,53","15,3",BRC0891B,Nome não encontrado
Ferro,mg,"0,29","0,06","0,04","0,37",BRC0891B,Nome não encontrado
Sódio,mg,211,"42,4","27,5",275,BRC0891B,Nome não encontrado
Magnésio,mg,"9,32","1,86","1,21","12,1",BRC0891B,Nome não encontrado
Fósforo,mg,"62,5","12,5","8,13","81,3",BRC0891B,Nome não encontrado
Potássio,mg,149,"29,8","19,4",193,BRC0891B,Nome não encontrado
Manganês,mg,"0,16","0,03","0,02","0,21",BRC0891B,Nome não encontrado
Zinco,mg,"0,35","0,07","0,04","0,45",BRC0891B,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01","0,07",BRC0891B,Nome não encontrado
Selênio,mcg,"2,77","0,55","0,36","3,60",BRC0891B,Nome não encontrado
Vitamina A (RE),mcg,111,"22,3","14,5",144,BRC0891B,Nome não encontrado
Vitamina A (RAE),mcg,"57,6","11,5","7,48","74,8",BRC0891B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0891B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,08","0,05","0,53",BRC0891B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,00","0,05",BRC0891B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0891B,Nome não encontrado
Niacina,mg,"1,88","0,38","0,24","2,45",BRC0891B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,05",BRC0891B,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,00","0,04",BRC0891B,Nome não encontrado
Vitamina C,mg,"2,92","0,58","0,38","3,80",BRC0891B,Nome não encontrado
Equivalente de folato,mcg,"7,08","1,42","0,92","9,20",BRC0891B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,06","0,61",BRC0891B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0891B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0891B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0891B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0891B,Nome não encontrado
