componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,318,111,54,444,254,BRC0099T,Nome não encontrado
Energia,kcal,76,26,12,106,60,BRC0099T,Nome não encontrado
Umidade,g,"78,9","27,6","13,4",110,"63,1",BRC0099T,Nome não encontrado
Carboidrato total,g,"13,6","4,75","2,31","19,0","10,9",BRC0099T,Nome não encontrado
Carboidrato disponível,g,"6,34","2,22","1,08","8,87","5,07",BRC0099T,Nome não encontrado
Proteína,g,"4,99","1,75","0,85","6,99","3,99",BRC0099T,Nome não encontrado
Lipídios,g,"1,82","0,64","0,31","2,55","1,46",BRC0099T,Nome não encontrado
Fibra alimentar,g,"7,23","2,53","1,23","10,1","5,79",BRC0099T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Cinzas,g,"0,76","0,26","0,13","1,06","0,61",BRC0099T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,13","0,06","0,53","0,30",BRC0099T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,13","0,06","0,53","0,30",BRC0099T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,35","0,17","1,41","0,81",BRC0099T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,00",BRC0099T,Nome não encontrado
Cálcio,mg,"17,4","6,09","2,96","24,4","13,9",BRC0099T,Nome não encontrado
Ferro,mg,"1,03","0,36","0,17","1,44","0,82",BRC0099T,Nome não encontrado
Sódio,mg,"1,03","0,36","0,17","1,44","0,82",BRC0099T,Nome não encontrado
Magnésio,mg,"37,0","13,0","6,30","51,9","29,6",BRC0099T,Nome não encontrado
Fósforo,mg,"84,1","29,4","14,3",117,"67,2",BRC0099T,Nome não encontrado
Potássio,mg,255,"89,4","43,4",357,204,BRC0099T,Nome não encontrado
Manganês,mg,"0,51","0,18","0,09","0,72","0,41",BRC0099T,Nome não encontrado
Zinco,mg,"2,47","0,87","0,42","3,46","1,98",BRC0099T,Nome não encontrado
Cobre,mg,"0,51","0,18","0,09","0,71","0,41",BRC0099T,Nome não encontrado
Selênio,mcg,"1,97","0,69","0,33","2,76","1,58",BRC0099T,Nome não encontrado
Vitamina A (RE),mcg,"2,19","0,76","0,37","3,06","1,75",BRC0099T,Nome não encontrado
Vitamina A (RAE),mcg,"1,09","0,38","0,19","1,53","0,87",BRC0099T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,12","0,06","0,49","0,28",BRC0099T,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,17","0,10",BRC0099T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0099T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0099T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,02","0,01",BRC0099T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Vitamina C,mg,"0,45","0,16","0,08","0,63","0,36",BRC0099T,Nome não encontrado
Equivalente de folato,mcg,"89,4","31,3","15,2",125,"71,5",BRC0099T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0099T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0099T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0099T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0099T,Nome não encontrado
