componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,317,285,BRC0177T,Nome não encontrado
Energia,kcal,75,67,BRC0177T,Nome não encontrado
Umidade,g,"78,2","70,4",BRC0177T,Nome não encontrado
Carboidrato total,g,"15,6","14,0",BRC0177T,Nome não encontrado
Carboidrato disponível,g,"10,1","9,06",BRC0177T,Nome não encontrado
Proteína,g,"4,75","4,28",BRC0177T,Nome não encontrado
Lipídios,g,"0,56","0,50",BRC0177T,Nome não encontrado
Fibra alimentar,g,"5,54","4,98",BRC0177T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0177T,Nome não encontrado
Cinzas,g,"0,90","0,81",BRC0177T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0177T,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,14",BRC0177T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,04",BRC0177T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,19",BRC0177T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0177T,Nome não encontrado
Cálcio,mg,"35,8","32,2",BRC0177T,Nome não encontrado
Ferro,mg,"1,25","1,13",BRC0177T,Nome não encontrado
Sódio,mg,"2,44","2,20",BRC0177T,Nome não encontrado
Magnésio,mg,"35,7","32,1",BRC0177T,Nome não encontrado
Fósforo,mg,"86,9","78,2",BRC0177T,Nome não encontrado
Potássio,mg,297,268,BRC0177T,Nome não encontrado
Manganês,mg,"0,44","0,40",BRC0177T,Nome não encontrado
Zinco,mg,"0,82","0,74",BRC0177T,Nome não encontrado
Cobre,mg,"0,14","0,12",BRC0177T,Nome não encontrado
Selênio,mcg,"1,86","1,68",BRC0177T,Nome não encontrado
Vitamina A (RE),mcg,"86,6","77,9",BRC0177T,Nome não encontrado
Vitamina A (RAE),mcg,"43,3","39,0",BRC0177T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0177T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26","0,23",BRC0177T,Nome não encontrado
Tiamina,mg,"0,07","0,06",BRC0177T,Nome não encontrado
Riboflavina,mg,"0,02","0,02",BRC0177T,Nome não encontrado
Niacina,mg,"0,05","0,05",BRC0177T,Nome não encontrado
Vitamina B6,mg,"0,11","0,10",BRC0177T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0177T,Nome não encontrado
Vitamina C,mg,"9,36","8,42",BRC0177T,Nome não encontrado
Equivalente de folato,mcg,"78,6","70,7",BRC0177T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0177T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0177T,Nome não encontrado
Gordura de adição,g,-,-,BRC0177T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0177T,Nome não encontrado
Proteína animal,g,-,-,BRC0177T,Nome não encontrado
