componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,547,191,92,765,437,BRC0220T,Nome não encontrado
Energia,kcal,129,45,22,181,103,BRC0220T,Nome não encontrado
Umidade,g,"62,8","22,0","10,7","87,9","50,2",BRC0220T,Nome não encontrado
Carboidrato total,g,"25,0","8,76","4,25","35,0","20,0",BRC0220T,Nome não encontrado
Carboidrato disponível,g,"18,8","6,56","3,19","26,3","15,0",BRC0220T,Nome não encontrado
Proteína,g,"9,69","3,39","1,65","13,6","7,75",BRC0220T,Nome não encontrado
Lipídios,g,"0,35","0,12","0,06","0,49","0,28",BRC0220T,Nome não encontrado
Fibra alimentar,g,"6,27","2,20","1,07","8,78","5,02",BRC0220T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Cinzas,g,"2,14","0,75","0,36","3,00","1,71",BRC0220T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,03","0,02","0,13","0,07",BRC0220T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,01","0,01","0,04","0,02",BRC0220T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,05","0,03","0,21","0,12",BRC0220T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Cálcio,mg,"89,7","31,4","15,2",125,"71,8",BRC0220T,Nome não encontrado
Ferro,mg,"3,69","1,29","0,63","5,16","2,95",BRC0220T,Nome não encontrado
Sódio,mg,185,"65,0","31,6",260,148,BRC0220T,Nome não encontrado
Magnésio,mg,"62,7","22,0","10,7","87,8","50,2",BRC0220T,Nome não encontrado
Fósforo,mg,112,"39,4","19,1",157,"90,0",BRC0220T,Nome não encontrado
Potássio,mg,558,195,"94,9",781,446,BRC0220T,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Zinco,mg,"2,65","0,93","0,45","3,71","2,12",BRC0220T,Nome não encontrado
Cobre,mg,"0,79","0,28","0,13","1,11","0,63",BRC0220T,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,94","0,33","0,16","1,31","0,75",BRC0220T,Nome não encontrado
Tiamina,mg,"0,12","0,04","0,02","0,16","0,09",BRC0220T,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,01","0,06","0,04",BRC0220T,Nome não encontrado
Niacina,mg,"0,14","0,05","0,02","0,19","0,11",BRC0220T,Nome não encontrado
Vitamina B6,mg,"0,09","0,03","0,02","0,13","0,07",BRC0220T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Equivalente de folato,mcg,"80,6","28,2","13,7",112,"64,5",BRC0220T,Nome não encontrado
Sal de adição,g,"0,45","0,16","0,08","0,63","0,36",BRC0220T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0220T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0220T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0220T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0220T,Nome não encontrado
