componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,511,459,BRC0193T,Nome não encontrado
Energia,kcal,122,109,BRC0193T,Nome não encontrado
Umidade,g,"74,3","66,9",BRC0193T,Nome não encontrado
Carboidrato total,g,"8,10","7,29",BRC0193T,Nome não encontrado
Carboidrato disponível,g,"7,00","6,30",BRC0193T,Nome não encontrado
Proteína,g,"10,3","9,27",BRC0193T,Nome não encontrado
Lipídios,g,"5,60","5,04",BRC0193T,Nome não encontrado
Fibra alimentar,g,"1,10","0,99",BRC0193T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0193T,Nome não encontrado
Cinzas,g,"1,59","1,43",BRC0193T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0193T,Nome não encontrado
Ácidos graxos saturados,g,"0,81","0,73",BRC0193T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,67","1,50",BRC0193T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,78","2,50",BRC0193T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0193T,Nome não encontrado
Cálcio,mg,"55,9","50,3",BRC0193T,Nome não encontrado
Ferro,mg,"3,60","3,24",BRC0193T,Nome não encontrado
Sódio,mg,130,117,BRC0193T,Nome não encontrado
Magnésio,mg,"56,4","50,7",BRC0193T,Nome não encontrado
Fósforo,mg,121,109,BRC0193T,Nome não encontrado
Potássio,mg,436,392,BRC0193T,Nome não encontrado
Manganês,mg,"0,62","0,56",BRC0193T,Nome não encontrado
Zinco,mg,"0,99","0,89",BRC0193T,Nome não encontrado
Cobre,mg,"0,31","0,28",BRC0193T,Nome não encontrado
Selênio,mcg,"21,1","19,0",BRC0193T,Nome não encontrado
Vitamina A (RE),mcg,"9,86","8,87",BRC0193T,Nome não encontrado
Vitamina A (RAE),mcg,"5,17","4,65",BRC0193T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0193T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,33",BRC0193T,Nome não encontrado
Tiamina,mg,"0,23","0,21",BRC0193T,Nome não encontrado
Riboflavina,mg,"0,23","0,21",BRC0193T,Nome não encontrado
Niacina,mg,"0,43","0,39",BRC0193T,Nome não encontrado
Vitamina B6,mg,"0,11","0,10",BRC0193T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0193T,Nome não encontrado
Vitamina C,mg,"2,48","2,23",BRC0193T,Nome não encontrado
Equivalente de folato,mcg,"99,6","89,6",BRC0193T,Nome não encontrado
Sal de adição,g,"0,45","0,41",BRC0193T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0193T,Nome não encontrado
Gordura de adição,g,-,-,BRC0193T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0193T,Nome não encontrado
Proteína animal,g,-,-,BRC0193T,Nome não encontrado
