componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1062,BRC0168H,Nome não encontrado
Energia,kcal,255,BRC0168H,Nome não encontrado
Umidade,g,"58,0",BRC0168H,Nome não encontrado
Carboidrato total,g,"11,3",BRC0168H,Nome não encontrado
Carboidrato disponível,g,"11,3",BRC0168H,Nome não encontrado
Proteína,g,"0,00",BRC0168H,Nome não encontrado
Lipídios,g,"0,87",BRC0168H,Nome não encontrado
Fibra alimentar,g,"0,00",BRC0168H,Nome não encontrado
Álcool,g,"28,9",BRC0168H,Nome não encontrado
Cinzas,g,"1,00",BRC0168H,Nome não encontrado
Colesterol,mg,"0,00",BRC0168H,Nome não encontrado
Ácidos graxos saturados,g,"0,00",BRC0168H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00",BRC0168H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05",BRC0168H,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0168H,Nome não encontrado
Cálcio,mg,"0,24",BRC0168H,Nome não encontrado
Ferro,mg,"0,05",BRC0168H,Nome não encontrado
Sódio,mg,401,BRC0168H,Nome não encontrado
Magnésio,mg,"0,01",BRC0168H,Nome não encontrado
Fósforo,mg,"2,42",BRC0168H,Nome não encontrado
Potássio,mg,"1,29",BRC0168H,Nome não encontrado
Manganês,mg,"0,00",BRC0168H,Nome não encontrado
Zinco,mg,"0,04",BRC0168H,Nome não encontrado
Cobre,mg,"0,04",BRC0168H,Nome não encontrado
Selênio,mcg,"0,12",BRC0168H,Nome não encontrado
Vitamina A (RE),mcg,"0,00",BRC0168H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00",BRC0168H,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0168H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00",BRC0168H,Nome não encontrado
Tiamina,mg,"0,03",BRC0168H,Nome não encontrado
Riboflavina,mg,"0,01",BRC0168H,Nome não encontrado
Niacina,mg,"0,01",BRC0168H,Nome não encontrado
Vitamina B6,mg,traços,BRC0168H,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0168H,Nome não encontrado
Vitamina C,mg,"3,82",BRC0168H,Nome não encontrado
Equivalente de folato,mcg,"0,86",BRC0168H,Nome não encontrado
Sal de adição,g,"0,00",BRC0168H,Nome não encontrado
Açúcar de adição,g,"1,00",BRC0168H,Nome não encontrado
Gordura de adição,g,-,BRC0168H,Nome não encontrado
Proteína vegetal,g,-,BRC0168H,Nome não encontrado
Proteína animal,g,-,BRC0168H,Nome não encontrado
