componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,373,896,616,373,BRC0035H,Nome não encontrado
Energia,kcal,90,215,148,89,BRC0035H,Nome não encontrado
Umidade,g,"85,7",205,141,"85,7",BRC0035H,Nome não encontrado
Carboidrato total,g,"2,94","7,05","4,84","2,94",BRC0035H,Nome não encontrado
Carboidrato disponível,g,"2,94","7,05","4,84","2,94",BRC0035H,Nome não encontrado
Proteína,g,"0,08","0,18","0,13","0,08",BRC0035H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Álcool,g,"11,1","26,7","18,3","11,1",BRC0035H,Nome não encontrado
Cinzas,g,"0,18","0,43","0,30","0,18",BRC0035H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Cálcio,mg,"7,83","18,8","12,9","7,83",BRC0035H,Nome não encontrado
Ferro,mg,"0,37","0,89","0,61","0,37",BRC0035H,Nome não encontrado
Sódio,mg,"2,88","6,91","4,75","2,88",BRC0035H,Nome não encontrado
Magnésio,mg,"6,14","14,7","10,1","6,14",BRC0035H,Nome não encontrado
Fósforo,mg,"12,8","30,6","21,0","12,8",BRC0035H,Nome não encontrado
Potássio,mg,"71,4",171,117,"71,4",BRC0035H,Nome não encontrado
Manganês,mg,"0,24","0,58","0,40","0,24",BRC0035H,Nome não encontrado
Zinco,mg,"0,10","0,25","0,17","0,10",BRC0035H,Nome não encontrado
Cobre,mg,"0,05","0,13","0,09","0,05",BRC0035H,Nome não encontrado
Selênio,mcg,,,,,BRC0035H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0035H,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,03","0,02",BRC0035H,Nome não encontrado
Niacina,mg,"0,12","0,28","0,19","0,12",BRC0035H,Nome não encontrado
Vitamina B6,mg,"0,06","0,14","0,10","0,06",BRC0035H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Equivalente de folato,mcg,"1,09","2,61","1,80","1,09",BRC0035H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0035H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
Proteína vegetal,g,"0,08","0,18","0,13","0,08",BRC0035H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0035H,Nome não encontrado
