componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (9.5 g),codigo_alimento,nome_alimento
Energia,kJ,1079,102,BRC0004L,Nome não encontrado
Energia,kcal,259,24,BRC0004L,Nome não encontrado
Umidade,g,"1,70","0,16",BRC0004L,Nome não encontrado
Carboidrato total,g,"19,1","1,81",BRC0004L,Nome não encontrado
Carboidrato disponível,g,"18,1","1,72",BRC0004L,Nome não encontrado
Proteína,g,"8,20","0,78",BRC0004L,Nome não encontrado
Lipídios,g,"16,4","1,56",BRC0004L,Nome não encontrado
Fibra alimentar,g,"1,00","0,10",BRC0004L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0004L,Nome não encontrado
Cinzas,g,"54,6","5,19",BRC0004L,Nome não encontrado
Colesterol,mg,"45,4","4,31",BRC0004L,Nome não encontrado
Ácidos graxos saturados,g,"4,19","0,40",BRC0004L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,70","0,64",BRC0004L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,87","0,46",BRC0004L,Nome não encontrado
Ácidos graxos trans,g,,,BRC0004L,Nome não encontrado
Cálcio,mg,191,"18,2",BRC0004L,Nome não encontrado
Ferro,mg,"1,89","0,18",BRC0004L,Nome não encontrado
Sódio,mg,24196,2298,BRC0004L,Nome não encontrado
Magnésio,mg,"56,5","5,36",BRC0004L,Nome não encontrado
Fósforo,mg,192,"18,3",BRC0004L,Nome não encontrado
Potássio,mg,377,"35,8",BRC0004L,Nome não encontrado
Manganês,mg,,,BRC0004L,Nome não encontrado
Zinco,mg,"0,20","0,02",BRC0004L,Nome não encontrado
Cobre,mg,,,BRC0004L,Nome não encontrado
Selênio,mcg,,,BRC0004L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0004L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0004L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0004L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,03",BRC0004L,Nome não encontrado
Tiamina,mg,"0,19","0,02",BRC0004L,Nome não encontrado
Riboflavina,mg,"0,38","0,04",BRC0004L,Nome não encontrado
Niacina,mg,"3,93","0,37",BRC0004L,Nome não encontrado
Vitamina B6,mg,"0,10","0,01",BRC0004L,Nome não encontrado
Vitamina B12,mcg,"0,30","0,03",BRC0004L,Nome não encontrado
Vitamina C,mg,"1,01","0,10",BRC0004L,Nome não encontrado
Equivalente de folato,mcg,"32,3","3,06",BRC0004L,Nome não encontrado
Sal de adição,g,,,BRC0004L,Nome não encontrado
Açúcar de adição,g,,,BRC0004L,Nome não encontrado
Gordura de adição,g,,,BRC0004L,Nome não encontrado
Proteína vegetal,g,,,BRC0004L,Nome não encontrado
Proteína animal,g,,,BRC0004L,Nome não encontrado
