componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,182,81,63,36,21,BRC0218B,Nome não encontrado
Energia,kcal,44,19,15,8,5,BRC0218B,Nome não encontrado
Umidade,g,"91,3","41,1","32,0","18,3","11,0",BRC0218B,Nome não encontrado
Carboidrato total,g,"3,94","1,77","1,38","0,79","0,47",BRC0218B,Nome não encontrado
Carboidrato disponível,g,"2,70","1,21","0,94","0,54","0,32",BRC0218B,Nome não encontrado
Proteína,g,"1,50","0,67","0,52","0,30","0,18",BRC0218B,Nome não encontrado
Lipídios,g,"2,71","1,22","0,95","0,54","0,33",BRC0218B,Nome não encontrado
Fibra alimentar,g,"1,25","0,56","0,44","0,25","0,15",BRC0218B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Cinzas,g,"0,51","0,23","0,18","0,10","0,06",BRC0218B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,16","0,13","0,07","0,04",BRC0218B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","0,30","0,23","0,13","0,08",BRC0218B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,56","0,70","0,54","0,31","0,19",BRC0218B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Cálcio,mg,"36,2","16,3","12,7","7,24","4,34",BRC0218B,Nome não encontrado
Ferro,mg,"0,11","0,05","0,04","0,02","0,01",BRC0218B,Nome não encontrado
Sódio,mg,130,"58,6","45,6","26,0","15,6",BRC0218B,Nome não encontrado
Magnésio,mg,"6,54","2,94","2,29","1,31","0,79",BRC0218B,Nome não encontrado
Fósforo,mg,"14,5","6,54","5,08","2,91","1,74",BRC0218B,Nome não encontrado
Potássio,mg,100,"45,3","35,3","20,1","12,1",BRC0218B,Nome não encontrado
Manganês,mg,"0,14","0,06","0,05","0,03","0,02",BRC0218B,Nome não encontrado
Zinco,mg,"0,13","0,06","0,04","0,03","0,02",BRC0218B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,02","0,01","0,01",BRC0218B,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Vitamina A (RE),mcg,108,"48,7","37,9","21,7","13,0",BRC0218B,Nome não encontrado
Vitamina A (RAE),mcg,"54,2","24,4","19,0","10,8","6,50",BRC0218B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,06","0,48","0,37","0,21","0,13",BRC0218B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0218B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,00","0,00",BRC0218B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0218B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,01","0,01",BRC0218B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Vitamina C,mg,"8,51","3,83","2,98","1,70","1,02",BRC0218B,Nome não encontrado
Equivalente de folato,mcg,"24,2","10,9","8,46","4,83","2,90",BRC0218B,Nome não encontrado
Sal de adição,g,"0,32","0,14","0,11","0,06","0,04",BRC0218B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0218B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0218B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0218B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0218B,Nome não encontrado
