componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,618,185,92,BRC0140G,Nome não encontrado
Energia,kcal,147,44,22,BRC0140G,Nome não encontrado
Umidade,g,"68,5","20,6","10,3",BRC0140G,Nome não encontrado
Carboidrato total,g,"12,3","3,69","1,85",BRC0140G,Nome não encontrado
Carboidrato disponível,g,"12,3","3,69","1,85",BRC0140G,Nome não encontrado
Proteína,g,"10,4","3,12","1,56",BRC0140G,Nome não encontrado
Lipídios,g,"6,28","1,88","0,94",BRC0140G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0140G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0140G,Nome não encontrado
Cinzas,g,"2,52","0,76","0,38",BRC0140G,Nome não encontrado
Colesterol,mg,"28,5","8,54","4,27",BRC0140G,Nome não encontrado
Ácidos graxos saturados,g,"3,72","1,12","0,56",BRC0140G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,86","0,56","0,28",BRC0140G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,06","0,03",BRC0140G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0140G,Nome não encontrado
Cálcio,mg,345,103,"51,8",BRC0140G,Nome não encontrado
Ferro,mg,"0,47","0,14","0,07",BRC0140G,Nome não encontrado
Sódio,mg,123,"37,0","18,5",BRC0140G,Nome não encontrado
Magnésio,mg,"28,4","8,51","4,26",BRC0140G,Nome não encontrado
Fósforo,mg,221,"66,4","33,2",BRC0140G,Nome não encontrado
Potássio,mg,322,"96,9","48,4",BRC0140G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0140G,Nome não encontrado
Zinco,mg,"0,84","0,25","0,13",BRC0140G,Nome não encontrado
Cobre,mg,"0,05","0,02","0,01",BRC0140G,Nome não encontrado
Selênio,mcg,"4,40","1,32","0,66",BRC0140G,Nome não encontrado
Vitamina A (RE),mcg,"93,5","28,1","14,0",BRC0140G,Nome não encontrado
Vitamina A (RAE),mcg,"92,7","27,8","13,9",BRC0140G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0140G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12","0,03","0,02",BRC0140G,Nome não encontrado
Tiamina,mg,"0,12","0,03","0,02",BRC0140G,Nome não encontrado
Riboflavina,mg,"0,71","0,21","0,11",BRC0140G,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0140G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0140G,Nome não encontrado
Vitamina B12,mcg,"0,96","0,29","0,14",BRC0140G,Nome não encontrado
Vitamina C,mg,"2,93","0,88","0,44",BRC0140G,Nome não encontrado
Equivalente de folato,mcg,"18,2","5,47","2,73",BRC0140G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0140G,Nome não encontrado
Açúcar de adição,g,,,,BRC0140G,Nome não encontrado
Gordura de adição,g,,,,BRC0140G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0140G,Nome não encontrado
Proteína animal,g,"10,4","3,12","1,56",BRC0140G,Nome não encontrado
