componente,unidade,Valor por 100g,Colher café cheia (2 g),Colher chá cheia (4 g),Colher chá rasa (2 g),Colher sobremesa cheia (10 g),Colher sobremesa rasa (7 g),Colher sopa cheia (15 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1650,33,66,33,165,115,247,165,BRC0002K,Nome não encontrado
Energia,kcal,390,7,15,7,38,27,58,38,BRC0002K,Nome não encontrado
Umidade,g,"1,90","0,04","0,08","0,04","0,19","0,13","0,29","0,19",BRC0002K,Nome não encontrado
Carboidrato total,g,"88,2","1,76","3,53","1,76","8,82","6,17","13,2","8,82",BRC0002K,Nome não encontrado
Carboidrato disponível,g,"83,2","1,66","3,33","1,66","8,32","5,82","12,5","8,32",BRC0002K,Nome não encontrado
Proteína,g,"5,00","0,10","0,20","0,10","0,50","0,35","0,75","0,50",BRC0002K,Nome não encontrado
Lipídios,g,"3,00","0,06","0,12","0,06","0,30","0,21","0,45","0,30",BRC0002K,Nome não encontrado
Fibra alimentar,g,"5,00","0,10","0,20","0,10","0,50","0,35","0,75","0,50",BRC0002K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0002K,Nome não encontrado
Cinzas,g,"1,90","0,04","0,08","0,04","0,19","0,13","0,29","0,19",BRC0002K,Nome não encontrado
Colesterol,mg,traços,traços,traços,traços,traços,traços,traços,traços,BRC0002K,Nome não encontrado
Ácidos graxos saturados,g,"1,52","0,03","0,06","0,03","0,15","0,11","0,23","0,15",BRC0002K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,83","0,02","0,03","0,02","0,08","0,06","0,12","0,08",BRC0002K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,01","0,02","0,01","0,04","0,03","0,06","0,04",BRC0002K,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0002K,Nome não encontrado
Cálcio,mg,"44,0","0,88","1,76","0,88","4,40","3,08","6,61","4,40",BRC0002K,Nome não encontrado
Ferro,mg,"5,32","0,11","0,21","0,11","0,53","0,37","0,80","0,53",BRC0002K,Nome não encontrado
Sódio,mg,"64,3","1,29","2,57","1,29","6,43","4,50","9,64","6,43",BRC0002K,Nome não encontrado
Magnésio,mg,"76,1","1,52","3,05","1,52","7,61","5,33","11,4","7,61",BRC0002K,Nome não encontrado
Fósforo,mg,198,"3,97","7,93","3,97","19,8","13,9","29,8","19,8",BRC0002K,Nome não encontrado
Potássio,mg,492,"9,85","19,7","9,85","49,2","34,5","73,9","49,2",BRC0002K,Nome não encontrado
Manganês,mg,"0,55","0,01","0,02","0,01","0,05","0,04","0,08","0,05",BRC0002K,Nome não encontrado
Zinco,mg,"1,03","0,02","0,04","0,02","0,10","0,07","0,15","0,10",BRC0002K,Nome não encontrado
Cobre,mg,"0,56","0,01","0,02","0,01","0,06","0,04","0,08","0,06",BRC0002K,Nome não encontrado
Selênio,mcg,,,,,,,,,BRC0002K,Nome não encontrado
Vitamina A (RE),mcg,,,,,,,,,BRC0002K,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,,,,BRC0002K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0002K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,00","0,01","0,00","0,01","0,01","0,02","0,01",BRC0002K,Nome não encontrado
Tiamina,mg,"1,37","0,03","0,05","0,03","0,14","0,10","0,21","0,14",BRC0002K,Nome não encontrado
Riboflavina,mg,"1,01","0,02","0,04","0,02","0,10","0,07","0,15","0,10",BRC0002K,Nome não encontrado
Niacina,mg,"4,95","0,10","0,20","0,10","0,49","0,35","0,74","0,49",BRC0002K,Nome não encontrado
Vitamina B6,mg,"1,51","0,03","0,06","0,03","0,15","0,11","0,23","0,15",BRC0002K,Nome não encontrado
Vitamina B12,mcg,"0,35","0,01","0,01","0,01","0,03","0,02","0,05","0,03",BRC0002K,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,traços,traços,BRC0002K,Nome não encontrado
Equivalente de folato,mcg,"5,96","0,12","0,24","0,12","0,60","0,42","0,89","0,60",BRC0002K,Nome não encontrado
Sal de adição,g,,,,,,,,,BRC0002K,Nome não encontrado
Açúcar de adição,g,,,,,,,,,BRC0002K,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0002K,Nome não encontrado
Proteína vegetal,g,,,,,,,,,BRC0002K,Nome não encontrado
Proteína animal,g,,,,,,,,,BRC0002K,Nome não encontrado
