componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,110,33,BRC0076B,Nome não encontrado
Energia,kcal,26,7,BRC0076B,Nome não encontrado
Umidade,g,"92,4","27,7",BRC0076B,Nome não encontrado
Carboidrato total,g,"4,42","1,33",BRC0076B,Nome não encontrado
Carboidrato disponível,g,"2,24","0,67",BRC0076B,Nome não encontrado
Proteína,g,"2,12","0,63",BRC0076B,Nome não encontrado
Lipídios,g,"0,50","0,15",BRC0076B,Nome não encontrado
Fibra alimentar,g,"2,18","0,65",BRC0076B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0076B,Nome não encontrado
Cinzas,g,"0,54","0,16",BRC0076B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0076B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0076B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,11","0,03",BRC0076B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01",BRC0076B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0076B,Nome não encontrado
Cálcio,mg,"78,7","23,6",BRC0076B,Nome não encontrado
Ferro,mg,"1,27","0,38",BRC0076B,Nome não encontrado
Sódio,mg,"3,32","1,00",BRC0076B,Nome não encontrado
Magnésio,mg,"18,0","5,41",BRC0076B,Nome não encontrado
Fósforo,mg,"67,4","20,2",BRC0076B,Nome não encontrado
Potássio,mg,419,125,BRC0076B,Nome não encontrado
Manganês,mg,"0,16","0,05",BRC0076B,Nome não encontrado
Zinco,mg,"0,33","0,10",BRC0076B,Nome não encontrado
Cobre,mg,"0,06","0,02",BRC0076B,Nome não encontrado
Selênio,mcg,"0,73","0,22",BRC0076B,Nome não encontrado
Vitamina A (RE),mcg,907,272,BRC0076B,Nome não encontrado
Vitamina A (RAE),mcg,453,136,BRC0076B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0076B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,41","0,72",BRC0076B,Nome não encontrado
Tiamina,mg,"0,05","0,02",BRC0076B,Nome não encontrado
Riboflavina,mg,"0,05","0,01",BRC0076B,Nome não encontrado
Niacina,mg,traços,traços,BRC0076B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02",BRC0076B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0076B,Nome não encontrado
Vitamina C,mg,"44,5","13,4",BRC0076B,Nome não encontrado
Equivalente de folato,mcg,"9,79","2,94",BRC0076B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0076B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0076B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0076B,Nome não encontrado
Proteína vegetal,g,"2,12","0,63",BRC0076B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0076B,Nome não encontrado
