componente,unidade,Valor por 100g,Colher sopa cheia (22 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1191,261,166,BRC0011T,Nome não encontrado
Energia,kcal,283,62,39,BRC0011T,Nome não encontrado
Umidade,g,"15,0","3,29","2,09",BRC0011T,Nome não encontrado
Carboidrato total,g,"62,9","13,8","8,81",BRC0011T,Nome não encontrado
Carboidrato disponível,g,"38,9","8,56","5,45",BRC0011T,Nome não encontrado
Proteína,g,"17,3","3,80","2,42",BRC0011T,Nome não encontrado
Lipídios,g,"1,17","0,26","0,16",BRC0011T,Nome não encontrado
Fibra alimentar,g,"24,0","5,28","3,36",BRC0011T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Cinzas,g,"3,67","0,81","0,51",BRC0011T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,09","0,06",BRC0011T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,02","0,01",BRC0011T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,18","0,11",BRC0011T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0011T,Nome não encontrado
Cálcio,mg,111,"24,5","15,6",BRC0011T,Nome não encontrado
Ferro,mg,"18,6","4,09","2,60",BRC0011T,Nome não encontrado
Sódio,mg,"13,7","3,00","1,91",BRC0011T,Nome não encontrado
Magnésio,mg,169,"37,4","23,8",BRC0011T,Nome não encontrado
Fósforo,mg,334,"73,7","46,9",BRC0011T,Nome não encontrado
Potássio,mg,1134,249,158,BRC0011T,Nome não encontrado
Manganês,mg,"1,17","0,26","0,16",BRC0011T,Nome não encontrado
Zinco,mg,"2,60","0,57","0,36",BRC0011T,Nome não encontrado
Cobre,mg,"0,84","0,19","0,12",BRC0011T,Nome não encontrado
Selênio,mcg,"0,10","0,02","0,01",BRC0011T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0011T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0011T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,04","0,03",BRC0011T,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,01",BRC0011T,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,00",BRC0011T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0011T,Nome não encontrado
Vitamina B6,mg,"0,07","0,01","0,01",BRC0011T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0011T,Nome não encontrado
Equivalente de folato,mcg,503,110,"70,5",BRC0011T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
Proteína vegetal,g,"17,3","3,80","2,42",BRC0011T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0011T,Nome não encontrado
