componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,410,82,533,BRC0819B,Nome não encontrado
Energia,kcal,98,19,127,BRC0819B,Nome não encontrado
Umidade,g,"79,6","15,9",103,BRC0819B,Nome não encontrado
Carboidrato total,g,"6,85","1,37","8,90",BRC0819B,Nome não encontrado
Carboidrato disponível,g,"5,89","1,18","7,65",BRC0819B,Nome não encontrado
Proteína,g,"7,25","1,45","9,42",BRC0819B,Nome não encontrado
Lipídios,g,"4,85","0,97","6,30",BRC0819B,Nome não encontrado
Fibra alimentar,g,"0,96","0,19","1,25",BRC0819B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0819B,Nome não encontrado
Cinzas,g,"1,47","0,29","1,91",BRC0819B,Nome não encontrado
Colesterol,mg,"23,6","4,73","30,7",BRC0819B,Nome não encontrado
Ácidos graxos saturados,g,"2,12","0,42","2,75",BRC0819B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,61","0,32","2,09",BRC0819B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61","0,12","0,80",BRC0819B,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,02","0,14",BRC0819B,Nome não encontrado
Cálcio,mg,"31,9","6,38","41,5",BRC0819B,Nome não encontrado
Ferro,mg,"0,79","0,16","1,03",BRC0819B,Nome não encontrado
Sódio,mg,419,"84,0",545,BRC0819B,Nome não encontrado
Magnésio,mg,"8,51","1,70","11,1",BRC0819B,Nome não encontrado
Fósforo,mg,"51,0","10,2","66,3",BRC0819B,Nome não encontrado
Potássio,mg,130,"26,1",169,BRC0819B,Nome não encontrado
Manganês,mg,"0,11","0,02","0,15",BRC0819B,Nome não encontrado
Zinco,mg,"1,20","0,24","1,57",BRC0819B,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0819B,Nome não encontrado
Selênio,mcg,"1,56","0,31","2,03",BRC0819B,Nome não encontrado
Vitamina A (RE),mcg,239,"47,8",310,BRC0819B,Nome não encontrado
Vitamina A (RAE),mcg,132,"26,6",172,BRC0819B,Nome não encontrado
Vitamina D,mcg,"0,27","0,05","0,34",BRC0819B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,01","0,60","3,92",BRC0819B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,06",BRC0819B,Nome não encontrado
Riboflavina,mg,"0,06","0,01","0,08",BRC0819B,Nome não encontrado
Niacina,mg,"0,61","0,12","0,80",BRC0819B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0819B,Nome não encontrado
Vitamina B12,mcg,"0,38","0,08","0,49",BRC0819B,Nome não encontrado
Vitamina C,mg,"2,86","0,57","3,72",BRC0819B,Nome não encontrado
Equivalente de folato,mcg,"6,31","1,26","8,21",BRC0819B,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,42",BRC0819B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0819B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0819B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0819B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0819B,Nome não encontrado
