componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1400,56,14,BRC1077B,Nome não encontrado
Energia,kcal,332,13,3,BRC1077B,Nome não encontrado
Umidade,g,"9,94","0,40","0,10",BRC1077B,Nome não encontrado
Carboidrato total,g,"71,6","2,86","0,72",BRC1077B,Nome não encontrado
Carboidrato disponível,g,"57,5","2,30","0,58",BRC1077B,Nome não encontrado
Proteína,g,"8,98","0,36","0,09",BRC1077B,Nome não encontrado
Lipídios,g,"4,24","0,17","0,04",BRC1077B,Nome não encontrado
Fibra alimentar,g,"14,1","0,56","0,14",BRC1077B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Cinzas,g,"5,22","0,21","0,05",BRC1077B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Ácidos graxos saturados,g,"2,60","0,10","0,03",BRC1077B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,02","0,00",BRC1077B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","0,04","0,01",BRC1077B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Cálcio,mg,114,"4,56","1,14",BRC1077B,Nome não encontrado
Ferro,mg,"19,8","0,79","0,20",BRC1077B,Nome não encontrado
Sódio,mg,"27,0","1,08","0,27",BRC1077B,Nome não encontrado
Magnésio,mg,214,"8,56","2,14",BRC1077B,Nome não encontrado
Fósforo,mg,168,"6,72","1,68",BRC1077B,Nome não encontrado
Potássio,mg,1320,"52,8","13,2",BRC1077B,Nome não encontrado
Manganês,mg,"33,3","1,33","0,33",BRC1077B,Nome não encontrado
Zinco,mg,"3,64","0,15","0,04",BRC1077B,Nome não encontrado
Cobre,mg,"0,48","0,02","0,00",BRC1077B,Nome não encontrado
Selênio,mcg,"55,8","2,23","0,56",BRC1077B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1077B,Nome não encontrado
Vitamina A (RAE),mcg,"2,00","0,08","0,02",BRC1077B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Tiamina,mg,"0,05","0,00","0,00",BRC1077B,Nome não encontrado
Riboflavina,mg,"0,17","0,01","0,00",BRC1077B,Nome não encontrado
Niacina,mg,"9,62","0,38","0,10",BRC1077B,Nome não encontrado
Vitamina B6,mg,"0,63","0,03","0,01",BRC1077B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Vitamina C,mg,"0,70","0,03","0,01",BRC1077B,Nome não encontrado
Equivalente de folato,mcg,"13,0","0,52","0,13",BRC1077B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
Proteína vegetal,g,"8,98","0,36","0,09",BRC1077B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1077B,Nome não encontrado
