componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,383,344,BRC0441B,Nome não encontrado
Energia,kcal,91,81,BRC0441B,Nome não encontrado
Umidade,g,"77,5","69,8",BRC0441B,Nome não encontrado
Carboidrato total,g,"6,02","5,42",BRC0441B,Nome não encontrado
Carboidrato disponível,g,"5,16","4,64",BRC0441B,Nome não encontrado
Proteína,g,"10,9","9,78",BRC0441B,Nome não encontrado
Lipídios,g,"2,79","2,51",BRC0441B,Nome não encontrado
Fibra alimentar,g,"1,13","1,02",BRC0441B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0441B,Nome não encontrado
Cinzas,g,"2,78","2,50",BRC0441B,Nome não encontrado
Colesterol,mg,"46,8","42,1",BRC0441B,Nome não encontrado
Ácidos graxos saturados,g,"0,60","0,54",BRC0441B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","1,01",BRC0441B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,71","0,63",BRC0441B,Nome não encontrado
Ácidos graxos trans,g,"0,42","0,38",BRC0441B,Nome não encontrado
Cálcio,mg,"37,9","34,1",BRC0441B,Nome não encontrado
Ferro,mg,"0,65","0,59",BRC0441B,Nome não encontrado
Sódio,mg,619,557,BRC0441B,Nome não encontrado
Magnésio,mg,"11,2","10,0",BRC0441B,Nome não encontrado
Fósforo,mg,"37,3","33,5",BRC0441B,Nome não encontrado
Potássio,mg,164,147,BRC0441B,Nome não encontrado
Manganês,mg,"0,12","0,11",BRC0441B,Nome não encontrado
Zinco,mg,"0,41","0,36",BRC0441B,Nome não encontrado
Cobre,mg,"0,07","0,06",BRC0441B,Nome não encontrado
Selênio,mcg,"0,15","0,13",BRC0441B,Nome não encontrado
Vitamina A (RE),mcg,"46,9","42,2",BRC0441B,Nome não encontrado
Vitamina A (RAE),mcg,"23,5","21,1",BRC0441B,Nome não encontrado
Vitamina D,mcg,"2,10","1,89",BRC0441B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,76","1,58",BRC0441B,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0441B,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0441B,Nome não encontrado
Niacina,mg,"4,47","4,02",BRC0441B,Nome não encontrado
Vitamina B6,mg,"0,06","0,05",BRC0441B,Nome não encontrado
Vitamina B12,mcg,"0,62","0,56",BRC0441B,Nome não encontrado
Vitamina C,mg,"26,6","23,9",BRC0441B,Nome não encontrado
Equivalente de folato,mcg,"16,6","15,0",BRC0441B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0441B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0441B,Nome não encontrado
Gordura de adição,g,-,-,BRC0441B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0441B,Nome não encontrado
Proteína animal,g,-,-,BRC0441B,Nome não encontrado
