componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,136,54,BRC0950B,Nome não encontrado
Energia,kcal,33,13,BRC0950B,Nome não encontrado
Umidade,g,"91,1","36,5",BRC0950B,Nome não encontrado
Carboidrato total,g,"3,90","1,56",BRC0950B,Nome não encontrado
Carboidrato disponível,g,"1,62","0,65",BRC0950B,Nome não encontrado
Proteína,g,"1,92","0,77",BRC0950B,Nome não encontrado
Lipídios,g,"1,55","0,62",BRC0950B,Nome não encontrado
Fibra alimentar,g,"2,27","0,91",BRC0950B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0950B,Nome não encontrado
Cinzas,g,"1,49","0,59",BRC0950B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0950B,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,11",BRC0950B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,11",BRC0950B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,87","0,35",BRC0950B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0950B,Nome não encontrado
Cálcio,mg,"0,91","0,36",BRC0950B,Nome não encontrado
Ferro,mg,"0,88","0,35",BRC0950B,Nome não encontrado
Sódio,mg,150,"60,2",BRC0950B,Nome não encontrado
Magnésio,mg,"16,3","6,51",BRC0950B,Nome não encontrado
Fósforo,mg,"32,5","13,0",BRC0950B,Nome não encontrado
Potássio,mg,338,135,BRC0950B,Nome não encontrado
Manganês,mg,"0,44","0,18",BRC0950B,Nome não encontrado
Zinco,mg,"0,83","0,33",BRC0950B,Nome não encontrado
Cobre,mg,"0,11","0,04",BRC0950B,Nome não encontrado
Selênio,mcg,"0,24","0,09",BRC0950B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0950B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0950B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0950B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,92","0,37",BRC0950B,Nome não encontrado
Tiamina,mg,"0,08","0,03",BRC0950B,Nome não encontrado
Riboflavina,mg,"0,07","0,03",BRC0950B,Nome não encontrado
Niacina,mg,"0,39","0,16",BRC0950B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0950B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0950B,Nome não encontrado
Vitamina C,mg,"4,47","1,79",BRC0950B,Nome não encontrado
Equivalente de folato,mcg,"0,69","0,28",BRC0950B,Nome não encontrado
Sal de adição,g,"0,32","0,13",BRC0950B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0950B,Nome não encontrado
Gordura de adição,g,-,-,BRC0950B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0950B,Nome não encontrado
Proteína animal,g,-,-,BRC0950B,Nome não encontrado
