componente,unidade,Valor por 100g,Colher servir cheia (95 g),Colher servir rasa (60 g),Colher sopa cheia (60 g),Colher sopa rasa (30 g),Escumadeira cheia (110 g),Escumadeira rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,198,187,118,118,59,217,158,BRC0280B,Nome não encontrado
Energia,kcal,48,45,28,28,14,52,38,BRC0280B,Nome não encontrado
Umidade,g,"87,5","83,1","52,5","52,5","26,3","96,3","70,0",BRC0280B,Nome não encontrado
Carboidrato total,g,"7,23","6,87","4,34","4,34","2,17","7,95","5,78",BRC0280B,Nome não encontrado
Carboidrato disponível,g,"1,59","1,51","0,96","0,96","0,48","1,75","1,27",BRC0280B,Nome não encontrado
Proteína,g,"1,64","1,56","0,98","0,98","0,49","1,80","1,31",BRC0280B,Nome não encontrado
Lipídios,g,"2,64","2,51","1,58","1,58","0,79","2,90","2,11",BRC0280B,Nome não encontrado
Fibra alimentar,g,"5,64","5,35","3,38","3,38","1,69","6,20","4,51",BRC0280B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Cinzas,g,"0,97","0,92","0,58","0,58","0,29","1,07","0,78",BRC0280B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,39","0,25","0,25","0,12","0,45","0,33",BRC0280B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,59","0,56","0,35","0,35","0,18","0,65","0,47",BRC0280B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,56","1,48","0,93","0,93","0,47","1,71","1,24",BRC0280B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Cálcio,mg,"22,2","21,1","13,3","13,3","6,67","24,4","17,8",BRC0280B,Nome não encontrado
Ferro,mg,"0,30","0,28","0,18","0,18","0,09","0,33","0,24",BRC0280B,Nome não encontrado
Sódio,mg,127,121,"76,7","76,7","38,3",140,102,BRC0280B,Nome não encontrado
Magnésio,mg,"14,5","13,7","8,67","8,67","4,34","15,9","11,6",BRC0280B,Nome não encontrado
Fósforo,mg,"30,5","29,0","18,3","18,3","9,15","33,5","24,4",BRC0280B,Nome não encontrado
Potássio,mg,124,118,"74,6","74,6","37,3",136,"99,5",BRC0280B,Nome não encontrado
Manganês,mg,"0,15","0,14","0,09","0,09","0,04","0,16","0,12",BRC0280B,Nome não encontrado
Zinco,mg,"0,12","0,12","0,07","0,07","0,04","0,14","0,10",BRC0280B,Nome não encontrado
Cobre,mg,"0,12","0,11","0,07","0,07","0,04","0,13","0,10",BRC0280B,Nome não encontrado
Selênio,mcg,"0,18","0,17","0,11","0,11","0,05","0,20","0,14",BRC0280B,Nome não encontrado
Vitamina A (RE),mcg,"14,4","13,6","8,62","8,62","4,31","15,8","11,5",BRC0280B,Nome não encontrado
Vitamina A (RAE),mcg,"7,18","6,82","4,31","4,31","2,15","7,90","5,74",BRC0280B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,72","0,68","0,43","0,43","0,22","0,79","0,57",BRC0280B,Nome não encontrado
Tiamina,mg,"0,05","0,05","0,03","0,03","0,02","0,06","0,04",BRC0280B,Nome não encontrado
Riboflavina,mg,"0,03","0,03","0,02","0,02","0,01","0,03","0,02",BRC0280B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0280B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0280B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Vitamina C,mg,"5,16","4,90","3,09","3,09","1,55","5,67","4,12",BRC0280B,Nome não encontrado
Equivalente de folato,mcg,"14,0","13,3","8,38","8,38","4,19","15,4","11,2",BRC0280B,Nome não encontrado
Sal de adição,g,"0,32","0,30","0,19","0,19","0,10","0,35","0,26",BRC0280B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0280B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0280B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0280B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0280B,Nome não encontrado
