componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,1393,417,BRC0058G,Nome não encontrado
Energia,kcal,336,100,BRC0058G,Nome não encontrado
Umidade,g,"46,7","14,0",BRC0058G,Nome não encontrado
Carboidrato total,g,"2,37","0,71",BRC0058G,Nome não encontrado
Carboidrato disponível,g,"2,37","0,71",BRC0058G,Nome não encontrado
Proteína,g,"18,8","5,65",BRC0058G,Nome não encontrado
Lipídios,g,"27,9","8,37",BRC0058G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0058G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0058G,Nome não encontrado
Cinzas,g,"4,22","1,27",BRC0058G,Nome não encontrado
Colesterol,mg,"52,0","15,6",BRC0058G,Nome não encontrado
Ácidos graxos saturados,g,"7,70","2,31",BRC0058G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,34","1,90",BRC0058G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,38","0,11",BRC0058G,Nome não encontrado
Ácidos graxos trans,g,"1,12","0,34",BRC0058G,Nome não encontrado
Cálcio,mg,1020,306,BRC0058G,Nome não encontrado
Ferro,mg,"1,09","0,33",BRC0058G,Nome não encontrado
Sódio,mg,1250,375,BRC0058G,Nome não encontrado
Magnésio,mg,"27,3","8,19",BRC0058G,Nome não encontrado
Fósforo,mg,405,121,BRC0058G,Nome não encontrado
Potássio,mg,120,"36,3",BRC0058G,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0058G,Nome não encontrado
Zinco,mg,"2,71","0,81",BRC0058G,Nome não encontrado
Cobre,mg,"0,07","0,02",BRC0058G,Nome não encontrado
Selênio,mcg,,,BRC0058G,Nome não encontrado
Vitamina A (RE),mcg,126,"37,9",BRC0058G,Nome não encontrado
Vitamina A (RAE),mcg,126,"37,9",BRC0058G,Nome não encontrado
Vitamina D,mcg,"0,80","0,24",BRC0058G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,16",BRC0058G,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0058G,Nome não encontrado
Riboflavina,mg,"0,33","0,10",BRC0058G,Nome não encontrado
Niacina,mg,traços,traços,BRC0058G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0058G,Nome não encontrado
Vitamina B12,mcg,"1,82","0,55",BRC0058G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0058G,Nome não encontrado
Equivalente de folato,mcg,"7,28","2,18",BRC0058G,Nome não encontrado
Sal de adição,g,,,BRC0058G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0058G,Nome não encontrado
Gordura de adição,g,,,BRC0058G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0058G,Nome não encontrado
Proteína animal,g,"18,8","5,65",BRC0058G,Nome não encontrado
