componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,557,333,BRC0701A,Nome não encontrado
Energia,kcal,133,79,BRC0701A,Nome não encontrado
Umidade,g,"73,4","44,0",BRC0701A,Nome não encontrado
Carboidrato total,g,"14,6","8,75",BRC0701A,Nome não encontrado
Carboidrato disponível,g,"12,5","7,51",BRC0701A,Nome não encontrado
Proteína,g,"4,05","2,43",BRC0701A,Nome não encontrado
Lipídios,g,"6,99","4,19",BRC0701A,Nome não encontrado
Fibra alimentar,g,"2,06","1,24",BRC0701A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0701A,Nome não encontrado
Cinzas,g,"0,99","0,60",BRC0701A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0701A,Nome não encontrado
Ácidos graxos saturados,g,"1,15","0,69",BRC0701A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,12","1,87",BRC0701A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,25","1,35",BRC0701A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0701A,Nome não encontrado
Cálcio,mg,"24,4","14,7",BRC0701A,Nome não encontrado
Ferro,mg,"1,21","0,73",BRC0701A,Nome não encontrado
Sódio,mg,144,"86,5",BRC0701A,Nome não encontrado
Magnésio,mg,"35,5","21,3",BRC0701A,Nome não encontrado
Fósforo,mg,"73,8","44,3",BRC0701A,Nome não encontrado
Potássio,mg,192,115,BRC0701A,Nome não encontrado
Manganês,mg,"0,39","0,24",BRC0701A,Nome não encontrado
Zinco,mg,"0,69","0,41",BRC0701A,Nome não encontrado
Cobre,mg,"0,18","0,11",BRC0701A,Nome não encontrado
Selênio,mcg,"12,2","7,30",BRC0701A,Nome não encontrado
Vitamina A (RE),mcg,173,104,BRC0701A,Nome não encontrado
Vitamina A (RAE),mcg,"93,2","55,9",BRC0701A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0701A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,37",BRC0701A,Nome não encontrado
Tiamina,mg,"0,07","0,04",BRC0701A,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0701A,Nome não encontrado
Niacina,mg,"0,69","0,42",BRC0701A,Nome não encontrado
Vitamina B6,mg,"0,10","0,06",BRC0701A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0701A,Nome não encontrado
Vitamina C,mg,"1,70","1,02",BRC0701A,Nome não encontrado
Equivalente de folato,mcg,"24,3","14,6",BRC0701A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0701A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0701A,Nome não encontrado
Gordura de adição,g,-,-,BRC0701A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0701A,Nome não encontrado
Proteína animal,g,-,-,BRC0701A,Nome não encontrado
