componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,140,41,13,BRC0246B,Nome não encontrado
Energia,kcal,34,10,3,BRC0246B,Nome não encontrado
Umidade,g,"87,1","26,1","8,71",BRC0246B,Nome não encontrado
Carboidrato total,g,"6,07","1,82","0,61",BRC0246B,Nome não encontrado
Carboidrato disponível,g,"1,53","0,46","0,15",BRC0246B,Nome não encontrado
Proteína,g,"3,25","0,98","0,33",BRC0246B,Nome não encontrado
Lipídios,g,"0,60","0,18","0,06",BRC0246B,Nome não encontrado
Fibra alimentar,g,"4,54","1,36","0,45",BRC0246B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Cinzas,g,"2,99","0,90","0,30",BRC0246B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03","0,01",BRC0246B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,09","0,03",BRC0246B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Cálcio,mg,439,131,"44,0",BRC0246B,Nome não encontrado
Ferro,mg,"3,40","1,02","0,34",BRC0246B,Nome não encontrado
Sódio,mg,138,"41,5","13,8",BRC0246B,Nome não encontrado
Magnésio,mg,120,"36,1","12,0",BRC0246B,Nome não encontrado
Fósforo,mg,"70,7","21,2","7,07",BRC0246B,Nome não encontrado
Potássio,mg,141,"42,6","14,2",BRC0246B,Nome não encontrado
Manganês,mg,"0,82","0,25","0,08",BRC0246B,Nome não encontrado
Zinco,mg,"4,60","1,38","0,46",BRC0246B,Nome não encontrado
Cobre,mg,"0,36","0,11","0,04",BRC0246B,Nome não encontrado
Selênio,mcg,"1,23","0,37","0,12",BRC0246B,Nome não encontrado
Vitamina A (RE),mcg,1774,532,177,BRC0246B,Nome não encontrado
Vitamina A (RAE),mcg,887,266,"88,7",BRC0246B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,-,-,-,BRC0246B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0246B,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01",BRC0246B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0246B,Nome não encontrado
Vitamina B6,mg,"0,07","0,02","0,01",BRC0246B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Vitamina C,mg,"2,18","0,65","0,22",BRC0246B,Nome não encontrado
Equivalente de folato,mcg,"64,4","19,3","6,44",BRC0246B,Nome não encontrado
Sal de adição,g,"0,32","0,10","0,03",BRC0246B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0246B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0246B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0246B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0246B,Nome não encontrado
