componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,287,689,473,BRC0045T,Nome não encontrado
Energia,kcal,68,162,111,BRC0045T,Nome não encontrado
Umidade,g,"83,6",200,137,BRC0045T,Nome não encontrado
Carboidrato total,g,"14,1","33,8","23,3",BRC0045T,Nome não encontrado
Carboidrato disponível,g,"13,8","33,0","22,7",BRC0045T,Nome não encontrado
Proteína,g,"1,30","3,12","2,15",BRC0045T,Nome não encontrado
Lipídios,g,"0,77","1,85","1,27",BRC0045T,Nome não encontrado
Fibra alimentar,g,"0,34","0,81","0,55",BRC0045T,Nome não encontrado
Álcool,g,,,,BRC0045T,Nome não encontrado
Cinzas,g,"0,21","0,50","0,35",BRC0045T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,23","0,16",BRC0045T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,14","0,35","0,24",BRC0045T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,29","0,69","0,48",BRC0045T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0045T,Nome não encontrado
Cálcio,mg,"31,0","74,5","51,2",BRC0045T,Nome não encontrado
Ferro,mg,"0,82","1,96","1,35",BRC0045T,Nome não encontrado
Sódio,mg,106,254,175,BRC0045T,Nome não encontrado
Magnésio,mg,"29,0","69,7","47,9",BRC0045T,Nome não encontrado
Fósforo,mg,"99,4",238,164,BRC0045T,Nome não encontrado
Potássio,mg,227,545,375,BRC0045T,Nome não encontrado
Manganês,mg,"0,28","0,66","0,45",BRC0045T,Nome não encontrado
Zinco,mg,"0,52","1,25","0,86",BRC0045T,Nome não encontrado
Cobre,mg,"0,16","0,37","0,26",BRC0045T,Nome não encontrado
Selênio,mcg,,,,BRC0045T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0045T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0045T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0045T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0045T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0045T,Nome não encontrado
Equivalente de folato,mcg,"49,4",118,"81,5",BRC0045T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Açúcar de adição,g,,,,BRC0045T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
Proteína vegetal,g,"1,30","3,12","2,15",BRC0045T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0045T,Nome não encontrado
