componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,195,468,322,BRC0037G,Nome não encontrado
Energia,kcal,46,110,76,BRC0037G,Nome não encontrado
Umidade,g,"88,5",212,146,BRC0037G,Nome não encontrado
Carboidrato total,g,"8,35","20,0","13,8",BRC0037G,Nome não encontrado
Carboidrato disponível,g,"7,85","18,8","13,0",BRC0037G,Nome não encontrado
Proteína,g,"2,10","5,04","3,47",BRC0037G,Nome não encontrado
Lipídios,g,"0,60","1,44","0,99",BRC0037G,Nome não encontrado
Fibra alimentar,g,"0,50","1,20","0,83",BRC0037G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0037G,Nome não encontrado
Cinzas,g,"0,45","1,08","0,74",BRC0037G,Nome não encontrado
Colesterol,mg,"1,68","4,04","2,78",BRC0037G,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,73","0,50",BRC0037G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,40","0,27",BRC0037G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,07","0,05",BRC0037G,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,15","0,10",BRC0037G,Nome não encontrado
Cálcio,mg,"51,5",123,"85,0",BRC0037G,Nome não encontrado
Ferro,mg,"0,46","1,10","0,76",BRC0037G,Nome não encontrado
Sódio,mg,"72,5",174,119,BRC0037G,Nome não encontrado
Magnésio,mg,"7,75","18,6","12,8",BRC0037G,Nome não encontrado
Fósforo,mg,"42,7",102,"70,4",BRC0037G,Nome não encontrado
Potássio,mg,"93,4",224,154,BRC0037G,Nome não encontrado
Manganês,mg,"0,03","0,07","0,05",BRC0037G,Nome não encontrado
Zinco,mg,"0,19","0,45","0,31",BRC0037G,Nome não encontrado
Cobre,mg,"0,03","0,06","0,04",BRC0037G,Nome não encontrado
Selênio,mcg,"1,69","4,06","2,79",BRC0037G,Nome não encontrado
Vitamina A (RE),mcg,"39,0","93,6","64,4",BRC0037G,Nome não encontrado
Vitamina A (RAE),mcg,"39,0","93,5","64,3",BRC0037G,Nome não encontrado
Vitamina D,mcg,"0,27","0,64","0,44",BRC0037G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,03","0,02",BRC0037G,Nome não encontrado
Tiamina,mg,"0,04","0,11","0,07",BRC0037G,Nome não encontrado
Riboflavina,mg,"0,18","0,42","0,29",BRC0037G,Nome não encontrado
Niacina,mg,"0,74","1,78","1,22",BRC0037G,Nome não encontrado
Vitamina B6,mg,"0,08","0,20","0,14",BRC0037G,Nome não encontrado
Vitamina B12,mcg,"0,18","0,43","0,29",BRC0037G,Nome não encontrado
Vitamina C,mg,"4,50","10,8","7,43",BRC0037G,Nome não encontrado
Equivalente de folato,mcg,"17,5","42,0","28,9",BRC0037G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0037G,Nome não encontrado
Açúcar de adição,g,,,,BRC0037G,Nome não encontrado
Gordura de adição,g,,,,BRC0037G,Nome não encontrado
Proteína vegetal,g,,,,BRC0037G,Nome não encontrado
Proteína animal,g,,,,BRC0037G,Nome não encontrado
