componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 mL),codigo_alimento,nome_alimento
Energia,kJ,989,989,BRC0139H,Nome não encontrado
Energia,kcal,235,235,BRC0139H,Nome não encontrado
Umidade,g,"67,4","67,4",BRC0139H,Nome não encontrado
Carboidrato total,g,"15,0","15,0",BRC0139H,Nome não encontrado
Carboidrato disponível,g,"14,8","14,8",BRC0139H,Nome não encontrado
Proteína,g,"2,23","2,23",BRC0139H,Nome não encontrado
Lipídios,g,"0,08","0,08",BRC0139H,Nome não encontrado
Fibra alimentar,g,"0,18","0,18",BRC0139H,Nome não encontrado
Álcool,g,"15,1","15,1",BRC0139H,Nome não encontrado
Cinzas,g,"0,23","0,23",BRC0139H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0139H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0139H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0139H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,01",BRC0139H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0139H,Nome não encontrado
Cálcio,mg,"8,95","8,95",BRC0139H,Nome não encontrado
Ferro,mg,"0,05","0,05",BRC0139H,Nome não encontrado
Sódio,mg,"34,7","34,7",BRC0139H,Nome não encontrado
Magnésio,mg,"4,27","4,27",BRC0139H,Nome não encontrado
Fósforo,mg,"6,68","6,68",BRC0139H,Nome não encontrado
Potássio,mg,"53,3","53,3",BRC0139H,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0139H,Nome não encontrado
Zinco,mg,"0,05","0,05",BRC0139H,Nome não encontrado
Cobre,mg,"0,02","0,02",BRC0139H,Nome não encontrado
Selênio,mcg,"1,18","1,18",BRC0139H,Nome não encontrado
Vitamina A (RE),mcg,"0,53","0,53",BRC0139H,Nome não encontrado
Vitamina A (RAE),mcg,"0,26","0,26",BRC0139H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0139H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,02",BRC0139H,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0139H,Nome não encontrado
Riboflavina,mg,"0,10","0,10",BRC0139H,Nome não encontrado
Niacina,mg,"0,02","0,02",BRC0139H,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0139H,Nome não encontrado
Vitamina B12,mcg,"0,02","0,02",BRC0139H,Nome não encontrado
Vitamina C,mg,"5,74","5,74",BRC0139H,Nome não encontrado
Equivalente de folato,mcg,"2,12","2,12",BRC0139H,Nome não encontrado
Sal de adição,g,,,BRC0139H,Nome não encontrado
Açúcar de adição,g,,,BRC0139H,Nome não encontrado
Gordura de adição,g,-,-,BRC0139H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0139H,Nome não encontrado
Proteína animal,g,-,-,BRC0139H,Nome não encontrado
