componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,534,320,240,534,BRC0237E,Nome não encontrado
Energia,kcal,128,76,57,127,BRC0237E,Nome não encontrado
Umidade,g,"74,7","44,8","33,6","74,7",BRC0237E,Nome não encontrado
Carboidrato total,g,"3,66","2,20","1,65","3,66",BRC0237E,Nome não encontrado
Carboidrato disponível,g,"2,91","1,75","1,31","2,91",BRC0237E,Nome não encontrado
Proteína,g,"12,7","7,62","5,72","12,7",BRC0237E,Nome não encontrado
Lipídios,g,"6,96","4,18","3,13","6,96",BRC0237E,Nome não encontrado
Fibra alimentar,g,"0,79","0,47","0,36","0,79",BRC0237E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0237E,Nome não encontrado
Cinzas,g,"1,93","1,16","0,87","1,93",BRC0237E,Nome não encontrado
Colesterol,mg,"37,7","22,6","17,0","37,7",BRC0237E,Nome não encontrado
Ácidos graxos saturados,g,"1,14","0,68","0,51","1,14",BRC0237E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,60","1,56","1,17","2,60",BRC0237E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,79","1,67","1,25","2,79",BRC0237E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0237E,Nome não encontrado
Cálcio,mg,"14,7","8,84","6,63","14,7",BRC0237E,Nome não encontrado
Ferro,mg,"0,25","0,15","0,11","0,25",BRC0237E,Nome não encontrado
Sódio,mg,461,276,207,461,BRC0237E,Nome não encontrado
Magnésio,mg,"18,1","10,9","8,15","18,1",BRC0237E,Nome não encontrado
Fósforo,mg,113,"68,0","51,0",113,BRC0237E,Nome não encontrado
Potássio,mg,303,181,136,303,BRC0237E,Nome não encontrado
Manganês,mg,"0,05","0,03","0,02","0,05",BRC0237E,Nome não encontrado
Zinco,mg,"0,28","0,17","0,12","0,28",BRC0237E,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02","0,04",BRC0237E,Nome não encontrado
Selênio,mcg,"24,8","14,9","11,1","24,8",BRC0237E,Nome não encontrado
Vitamina A (RE),mcg,"16,0","9,61","7,21","16,0",BRC0237E,Nome não encontrado
Vitamina A (RAE),mcg,"8,94","5,36","4,02","8,94",BRC0237E,Nome não encontrado
Vitamina D,mcg,"3,28","1,97","1,48","3,28",BRC0237E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,20","0,72","0,54","1,20",BRC0237E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0237E,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,01","0,03",BRC0237E,Nome não encontrado
Niacina,mg,"0,43","0,26","0,19","0,43",BRC0237E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02","0,04",BRC0237E,Nome não encontrado
Vitamina B12,mcg,"1,59","0,95","0,72","1,59",BRC0237E,Nome não encontrado
Vitamina C,mg,"7,70","4,62","3,46","7,70",BRC0237E,Nome não encontrado
Equivalente de folato,mcg,"12,8","7,67","5,75","12,8",BRC0237E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20","0,45",BRC0237E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0237E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0237E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0237E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0237E,Nome não encontrado
