componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,492,294,221,491,BRC0413E,Nome não encontrado
Energia,kcal,117,69,52,116,BRC0413E,Nome não encontrado
Umidade,g,"73,1","43,9","32,9","73,1",BRC0413E,Nome não encontrado
Carboidrato total,g,"2,55","1,53","1,15","2,55",BRC0413E,Nome não encontrado
Carboidrato disponível,g,"2,50","1,50","1,13","2,50",BRC0413E,Nome não encontrado
Proteína,g,"19,9","12,0","8,97","19,9",BRC0413E,Nome não encontrado
Lipídios,g,"2,96","1,78","1,33","2,96",BRC0413E,Nome não encontrado
Fibra alimentar,g,"0,05","0,03","0,02","0,05",BRC0413E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0413E,Nome não encontrado
Cinzas,g,"1,42","0,85","0,64","1,42",BRC0413E,Nome não encontrado
Colesterol,mg,"53,9","32,3","24,2","53,9",BRC0413E,Nome não encontrado
Ácidos graxos saturados,g,"1,44","0,86","0,65","1,44",BRC0413E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,67","0,40","0,30","0,67",BRC0413E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,34","0,26","0,57",BRC0413E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01",BRC0413E,Nome não encontrado
Cálcio,mg,"57,2","34,3","25,7","57,2",BRC0413E,Nome não encontrado
Ferro,mg,"0,48","0,29","0,22","0,48",BRC0413E,Nome não encontrado
Sódio,mg,120,"72,6","54,4",120,BRC0413E,Nome não encontrado
Magnésio,mg,"26,7","16,0","12,0","26,7",BRC0413E,Nome não encontrado
Fósforo,mg,224,134,101,224,BRC0413E,Nome não encontrado
Potássio,mg,341,204,153,341,BRC0413E,Nome não encontrado
Manganês,mg,"0,06","0,04","0,03","0,06",BRC0413E,Nome não encontrado
Zinco,mg,"0,76","0,46","0,34","0,76",BRC0413E,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02","0,04",BRC0413E,Nome não encontrado
Selênio,mcg,"34,3","20,6","15,4","34,3",BRC0413E,Nome não encontrado
Vitamina A (RE),mcg,"23,7","14,2","10,7","23,7",BRC0413E,Nome não encontrado
Vitamina A (RAE),mcg,"23,5","14,1","10,6","23,5",BRC0413E,Nome não encontrado
Vitamina D,mcg,"0,61","0,37","0,27","0,61",BRC0413E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,42","0,25","0,19","0,42",BRC0413E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0413E,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,07",BRC0413E,Nome não encontrado
Niacina,mg,"1,54","0,92","0,69","1,54",BRC0413E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0413E,Nome não encontrado
Vitamina B12,mcg,"2,19","1,32","0,99","2,19",BRC0413E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0413E,Nome não encontrado
Equivalente de folato,mcg,"16,3","9,78","7,33","16,3",BRC0413E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0413E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0413E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0413E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0413E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0413E,Nome não encontrado
