componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1138,113,BRC0282T,Nome não encontrado
Energia,kcal,274,27,BRC0282T,Nome não encontrado
Umidade,g,"6,20","0,62",BRC0282T,Nome não encontrado
Carboidrato total,g,"50,6","5,06",BRC0282T,Nome não encontrado
Carboidrato disponível,g,"4,17","0,42",BRC0282T,Nome não encontrado
Proteína,g,"34,6","3,46",BRC0282T,Nome não encontrado
Lipídios,g,"2,91","0,29",BRC0282T,Nome não encontrado
Fibra alimentar,g,"46,4","4,64",BRC0282T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0282T,Nome não encontrado
Cinzas,g,"5,71","0,57",BRC0282T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0282T,Nome não encontrado
Ácidos graxos saturados,g,"0,42","0,04",BRC0282T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,64","0,06",BRC0282T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,64","0,16",BRC0282T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0282T,Nome não encontrado
Cálcio,mg,201,"20,2",BRC0282T,Nome não encontrado
Ferro,mg,"7,58","0,76",BRC0282T,Nome não encontrado
Sódio,mg,"19,2","1,92",BRC0282T,Nome não encontrado
Magnésio,mg,282,"28,3",BRC0282T,Nome não encontrado
Fósforo,mg,555,"55,6",BRC0282T,Nome não encontrado
Potássio,mg,1914,191,BRC0282T,Nome não encontrado
Manganês,mg,"2,96","0,30",BRC0282T,Nome não encontrado
Zinco,mg,"4,50","0,45",BRC0282T,Nome não encontrado
Cobre,mg,"1,33","0,13",BRC0282T,Nome não encontrado
Selênio,mcg,,,BRC0282T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0282T,Nome não encontrado
Vitamina A (RAE),mcg,"0,85","0,08",BRC0282T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0282T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,03",BRC0282T,Nome não encontrado
Tiamina,mg,"0,21","0,02",BRC0282T,Nome não encontrado
Riboflavina,mg,"0,04","0,00",BRC0282T,Nome não encontrado
Niacina,mg,traços,traços,BRC0282T,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0282T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0282T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0282T,Nome não encontrado
Equivalente de folato,mcg,353,"35,3",BRC0282T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0282T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0282T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0282T,Nome não encontrado
Proteína vegetal,g,"34,6","3,46",BRC0282T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0282T,Nome não encontrado
