componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,924,BRC1017F,Nome não encontrado
Energia,kcal,219,BRC1017F,Nome não encontrado
Umidade,g,"70,6",BRC1017F,Nome não encontrado
Carboidrato total,g,"0,68",BRC1017F,Nome não encontrado
Carboidrato disponível,g,"0,56",BRC1017F,Nome não encontrado
Proteína,g,"24,2",BRC1017F,Nome não encontrado
Lipídios,g,"3,10",BRC1017F,Nome não encontrado
Fibra alimentar,g,"0,12",BRC1017F,Nome não encontrado
Álcool,g,"0,00",BRC1017F,Nome não encontrado
Cinzas,g,"0,95",BRC1017F,Nome não encontrado
Colesterol,mg,"76,8",BRC1017F,Nome não encontrado
Ácidos graxos saturados,g,"0,56",BRC1017F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62",BRC1017F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01",BRC1017F,Nome não encontrado
Ácidos graxos trans,g,"0,01",BRC1017F,Nome não encontrado
Cálcio,mg,"12,6",BRC1017F,Nome não encontrado
Ferro,mg,"0,65",BRC1017F,Nome não encontrado
Sódio,mg,103,BRC1017F,Nome não encontrado
Magnésio,mg,"26,4",BRC1017F,Nome não encontrado
Fósforo,mg,187,BRC1017F,Nome não encontrado
Potássio,mg,209,BRC1017F,Nome não encontrado
Manganês,mg,"0,01",BRC1017F,Nome não encontrado
Zinco,mg,"1,39",BRC1017F,Nome não encontrado
Cobre,mg,"0,08",BRC1017F,Nome não encontrado
Selênio,mcg,"0,03",BRC1017F,Nome não encontrado
Vitamina A (RE),mcg,,BRC1017F,Nome não encontrado
Vitamina A (RAE),mcg,"8,09",BRC1017F,Nome não encontrado
Vitamina D,mcg,"0,12",BRC1017F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23",BRC1017F,Nome não encontrado
Tiamina,mg,"0,04",BRC1017F,Nome não encontrado
Riboflavina,mg,"0,11",BRC1017F,Nome não encontrado
Niacina,mg,"7,47",BRC1017F,Nome não encontrado
Vitamina B6,mg,"0,62",BRC1017F,Nome não encontrado
Vitamina B12,mcg,,BRC1017F,Nome não encontrado
Vitamina C,mg,"0,41",BRC1017F,Nome não encontrado
Equivalente de folato,mcg,"8,16",BRC1017F,Nome não encontrado
Sal de adição,g,"0,00",BRC1017F,Nome não encontrado
Açúcar de adição,g,"0,45",BRC1017F,Nome não encontrado
Gordura de adição,g,-,BRC1017F,Nome não encontrado
Proteína vegetal,g,-,BRC1017F,Nome não encontrado
Proteína animal,g,-,BRC1017F,Nome não encontrado
